"random","mean","1%pop","50%pop","99%pop"
-0.0013346974689088,-0.000830578699812609,-0.012889534712155,-8.16722332658837e-05,-4.66300747200554e-07
-2.71405322594953e-05,-0.00166170062587798,-0.024672871794272,-0.000200378185194972,-1.50698730503107e-06
-0.000107419115595531,-0.00109887588160513,-0.0172340569224075,-0.000104772188202595,-5.69246495507602e-07
-0.000151088724340886,-0.000829077254656362,-0.0123507891882422,-9.61221882480046e-05,-6.61373381392047e-07
-3.07139988331429e-06,-0.00419078591234563,-0.0631211823167639,-0.000575345662796989,-4.91995955642976e-06
-0.000141167637573103,-0.00200401643238903,-0.0297320117916339,-0.000240124081116011,-1.81562542231117e-06
-6.86102857746507e-05,-0.00157412219735431,-0.0234784677264262,-0.000178128075647432,-1.21593764518923e-06
-5.33302815121095e-05,-0.00256973048131915,-0.039325259101478,-0.000322280197584346,-2.5214434012144e-06
-0.00696858082558294,-0.00336257018689682,-0.0513667688311866,-0.000391765321695436,-2.84392216873597e-06
-0.000555880852762924,-0.0034741118339279,-0.0524119288675911,-0.000420826406052177,-3.06076900129182e-06
-3.48263857130604e-06,-0.00135594974422357,-0.0204446752783878,-0.00016273403618805,-1.18335085033116e-06
-0.000122437222536353,-0.000530715169956697,-0.00786657908147972,-6.79981451931488e-05,-5.59225434206832e-07
-0.00165058466885692,-0.00138626248404182,-0.0204734314348222,-0.000158921393079881,-1.09971134009457e-06
-0.00190859906408314,-0.00152101398534516,-0.0226551898665555,-0.000185638747396966,-1.39119488491546e-06
-0.000576865613864275,-0.00155983049275307,-0.0250982253839954,-0.000149150771241557,-8.35208206311221e-07
-4.08165945141592e-05,-0.000752756804432749,-0.0109421292303004,-0.000102751136310253,-9.2403753113146e-07
-0.000543810655930566,-0.00188855495558693,-0.0279334452294343,-0.000229101911019491,-1.75939373800227e-06
-4.03549334673237e-05,-0.00110296493197265,-0.0162609974137441,-0.000134608000874115,-9.83728022095897e-07
-0.000238765898179505,-0.00166890235599092,-0.0261102249338097,-0.000189712668094588,-1.3220735945052e-06
-0.000600657268693183,-0.00116608628390435,-0.0171601026683561,-0.000147784695364972,-1.20472215979106e-06
-0.000440816818488177,-0.00299375935994076,-0.0453210567723718,-0.000355071703299736,-2.5119541158547e-06
-1.5271838387898e-05,-0.000955540063947318,-0.0147840033346609,-9.56958437153266e-05,-5.69851677590934e-07
-0.00124374831760798,-0.00125901262173273,-0.0188603768866541,-0.000163850475715543,-1.39490943609766e-06
-0.0010345812056326,-0.00418557594201035,-0.0643735599094864,-0.000538160118323971,-4.08601400366026e-06
-0.000416387285596787,-0.00270440881556576,-0.0407010117062174,-0.000312682780654938,-2.14227838903236e-06
-0.00445735887532339,-0.00172729520271757,-0.0260576838203986,-0.000200316674786039,-1.43068369935495e-06
-3.55712741828551e-06,-0.00150888826930243,-0.0223248484885418,-0.000170905215904571,-1.17573466876575e-06
-4.7388604227927e-05,-0.00117880049308081,-0.0175353522149071,-0.000149596167886068,-1.16006701615712e-06
-8.92285340514665e-06,-0.0011585130210844,-0.0177141113053309,-0.0001269156072643,-8.3674248045673e-07
-8.73645732725192e-05,-0.00147357784246225,-0.0219193917672426,-0.000186094973534112,-1.44070640363925e-06
-0.000182478765961558,-0.00142858997823332,-0.0211978101758025,-0.00018484001197816,-1.56954867963743e-06
-0.000854329016301336,-0.00054615932731289,-0.00804946774035107,-6.69672565162815e-05,-5.06164071878421e-07
-0.000159353767265613,-0.00285183389118798,-0.0426870629600693,-0.000379049446545543,-3.23415126161074e-06
-4.08097146897823e-05,-0.000878849800462158,-0.0128645524805233,-0.00010536348499296,-7.91056073112803e-07
-0.000356962114496095,-0.00299911770024244,-0.0463631835875545,-0.000327553078740217,-2.13645087024372e-06
-0.00101079774210966,-0.00401470111659795,-0.060777519658326,-0.000468970257888002,-3.26984013688691e-06
-4.93428365235804e-05,-0.00397129515376844,-0.0602291581631169,-0.000472500280477406,-3.32819654501715e-06
-7.96617249776421e-06,-0.00175878260694751,-0.026505373011458,-0.00020201309099821,-1.42916859412811e-06
-0.000799956649084499,-0.00277267041602707,-0.0406105194897503,-0.000339603441394443,-2.49367354221763e-06
-1.31648081980185e-06,-0.00272923790177265,-0.0413570535427723,-0.000342078684268832,-2.64872040377617e-06
