"random","mean","1%pop","5%pop","50%pop","95%pop","99%pop"
-0.00482004844369355,-0.00151717830581389,-0.0164245296639066,-0.00586227342968338,-0.000469232723246615,-3.56500994896314e-05,-1.26492673103973e-05
-0.000646649690150602,-0.00547255480653438,-0.0700625932738196,-0.0218967888219774,-0.00121800848222231,-6.39097105897269e-05,-1.86927857487007e-05
-0.001502813393924,-0.00293382236295393,-0.0357737320294021,-0.0114760662309047,-0.000748715359925767,-4.65131500551164e-05,-1.49787793208666e-05
-0.000798870147398989,-0.00257628643061846,-0.0277130048971863,-0.00995677637976022,-0.000824385302645836,-6.43449851973788e-05,-2.18790392966139e-05
-5.17291041477463e-05,-0.00342797131361274,-0.0316808749821708,-0.0126879152002537,-0.00137694842739744,-0.000141742416381463,-5.40036417410117e-05
-0.000105217113167022,-0.000656363795625525,-0.00678521953080026,-0.00252816169178262,-0.00022228207299213,-1.86353818830143e-05,-7.00844356964825e-06
-0.000350630575162492,-0.00293361195322088,-0.0304235187916205,-0.0112393044440672,-0.000970006275585744,-7.76436718864515e-05,-2.91237700465285e-05
-0.000586434703522487,-0.00489276288104107,-0.0451902016124457,-0.018317929624432,-0.00196078003863204,-0.000203778429890278,-7.84774593604742e-05
-0.008893017541443,-0.0079601255242073,-0.0800004631317267,-0.0306443805230737,-0.00291644781259276,-0.000258947891489309,-0.000100152559969985
-0.00315989007775286,-0.00680219537122472,-0.0655773597150367,-0.0260995971565124,-0.00250662113911759,-0.000224601961535909,-8.65727700092144e-05
-7.34299729161503e-05,-0.00354326201987881,-0.033458579824726,-0.0134245850051522,-0.00135016782579361,-0.000129009805703489,-4.91661384935537e-05
-0.000351936473272696,-0.000950234420249931,-0.00916607112377008,-0.00357620348549543,-0.000370465798195441,-3.69530479402747e-05,-1.48585732297268e-05
-0.00246498925272387,-0.00151609041546417,-0.0153254034377132,-0.00573368297144365,-0.000554854685066386,-5.00831916782574e-05,-1.97974041915782e-05
-0.00916091081430115,-0.00456404721684143,-0.0474055026663906,-0.0174830623557845,-0.00153854196304087,-0.000127913743301178,-4.6540220422514e-05
-0.00191167350917099,-0.0024965516145553,-0.0275252841052568,-0.00964253962104473,-0.000747450782051906,-5.47054004037818e-05,-1.8525920361816e-05
-0.000542764128508622,-0.00156250086864686,-0.0145870825365878,-0.00587529038672739,-0.000609450083104979,-5.9034606014835e-05,-2.3553026447457e-05
-0.00251200332416956,-0.00431388808149162,-0.0424889780486149,-0.016350574253397,-0.00158108390052153,-0.000144099831237288,-5.46709153803347e-05
-0.000320900274044411,-0.00202821103729207,-0.0208823593453053,-0.00784268352837529,-0.000674541645393878,-5.48373901465338e-05,-1.96772464085204e-05
-0.00153076129926699,-0.00352816640327857,-0.0352167651639482,-0.013313328386959,-0.00127780789230558,-0.000113170854778827,-4.27605512016471e-05
-0.000839710882529654,-0.00106298700156043,-0.0111501843524594,-0.00409076926841449,-0.000338525593780892,-2.63805029765197e-05,-9.48533426629372e-06
-0.00188181822145927,-0.00600309171948976,-0.0595495972311008,-0.0227294027872632,-0.00223340554452556,-0.000202451192455228,-7.74525354360976e-05
-9.52524613514472e-05,-0.00145684939918962,-0.0159382206090507,-0.00562991230161957,-0.000443636806137016,-3.20801084664757e-05,-1.11810264857415e-05
-0.00206292851292789,-0.00213388682993497,-0.0206623879986056,-0.00801712028188192,-0.000829996073613393,-8.13633516908164e-05,-3.24049909240787e-05
-0.0108993675301631,-0.00899275599548834,-0.0861323020068359,-0.0337849855815347,-0.00339847252025133,-0.000319645773447447,-0.000124173625944026
-0.00863653392425867,-0.00758151699017916,-0.0832981212720239,-0.0296514936182339,-0.00234957191891744,-0.000172671744525665,-6.15425357319098e-05
-0.00780791371651735,-0.00333992095678615,-0.0344183165855686,-0.0128717229066062,-0.00110659926791629,-8.91245140906549e-05,-3.357953700163e-05
-2.57421897498222e-05,-0.00155034592420868,-0.0159607553195918,-0.00594129843303572,-0.000508299168906989,-4.09403773563633e-05,-1.52863969581607e-05
-0.000755156800888224,-0.00528450699679291,-0.0756265345504986,-0.0202797876988306,-0.000701917201035351,-2.37278770548855e-05,-5.68914042009648e-06
-1.19005410535999e-05,-0.00357632860046787,-0.0465115444438608,-0.0141654167720704,-0.000752299325180061,-3.78735584193048e-05,-1.09904877096322e-05
-0.000758104235133783,-0.00265257427907495,-0.0251137112873917,-0.00993874927528767,-0.00105692620295877,-0.000105985098465555,-4.09026321537798e-05
-0.00135493940837661,-0.00280625872247973,-0.0260005937128551,-0.0104587636458995,-0.00109501429573444,-0.000111008004931879,-4.35229188501495e-05
-0.00168006629554918,-0.000886645081225671,-0.00847732185071677,-0.00336814065243421,-0.000337236839102473,-3.25880299668069e-05,-1.26822950450411e-05
-0.0026278343802395,-0.00761412388800224,-0.0726504039491353,-0.029043887690854,-0.00296535909932649,-0.000291355778212699,-0.0001154710782042
-0.0002052354884855,-0.00204635069867177,-0.0211848680728845,-0.00789415005480143,-0.000654340776771067,-5.05210503285225e-05,-1.78346569537391e-05
-0.00243029125316774,-0.00581257437467535,-0.0614322333155461,-0.0226377433656729,-0.00195922880949329,-0.000159122672606671,-5.952646250854e-05
-0.0057244773120525,-0.0119130638713387,-0.13072846675815,-0.0467755358845821,-0.00370976959010544,-0.000271609304731979,-9.37215492739296e-05
-0.000456676071214579,-0.0097338244448957,-0.101926956403631,-0.0382039780788681,-0.00325256026753884,-0.000262572606097644,-9.37552267798467e-05
-4.22696460645744e-05,-0.00273743111772505,-0.0334696313856019,-0.0106346151519231,-0.000561525224047899,-2.77716910892567e-05,-8.1078614583907e-06
-0.0026851909382517,-0.00789410706281375,-0.0762978548612744,-0.0304001792872941,-0.0029012160502504,-0.000262509488866736,-0.000102788026384375
-2.30204946577439e-05,-0.00174136377164139,-0.0183214968501929,-0.00677236081970141,-0.000552238771338809,-4.27922724695273e-05,-1.54477824939614e-05
-0.0002533972557206,-0.00140984430852985,-0.0141221931077127,-0.00538107289487611,-0.000482409443316734,-4.05036542532988e-05,-1.50244690277845e-05
-0.000200499342260185,-0.00138744138405914,-0.015069590291522,-0.00542299327295365,-0.000414350936837171,-3.04989255231703e-05,-1.02835351976205e-05
-0.000326533900687931,-0.00172548943806579,-0.0159966685009291,-0.00645320343244618,-0.000682964573401446,-6.88003658596784e-05,-2.74953680305301e-05
-0.00107827259979432,-0.00552506897006648,-0.0616377106385473,-0.0218531875593791,-0.0015735733068169,-0.000103505303781459,-3.48236584885541e-05
-0.000556442035364202,-0.0162988420175543,-0.17349901684526,-0.0650187022251492,-0.0051482681009275,-0.000369769001304899,-0.000123322866480214
-0.0089994890350803,-0.00432407350453119,-0.0460244557228016,-0.0167159934225931,-0.00133047580451723,-9.85375432636773e-05,-3.45808693303272e-05
-0.000467578013821246,-0.00620021492629489,-0.059529916371954,-0.0236868478374428,-0.00228376820514592,-0.000209202884825044,-7.98508825324373e-05
