"","random","mean","X1.pop","X5.pop","X50.pop","X95.pop","X99.pop"
"50%",-1.53731092855658e-08,-0.0015892010307822,-0.00793232824025728,-0.000175834290431848,-2.49295284693308e-08,-3.60300678181603e-12,-9.46287492809003e-14
"5%",-0.000168472802704428,-0.00525641742322477,-0.0286802839591569,-0.000694057909133604,-1.07195637127911e-07,-1.5915629369978e-11,-4.19662471440318e-13
"95%",-2.40862885192429e-14,-0.000606313954734852,-0.00123350808391042,-1.18465405212552e-05,-2.83142981283293e-11,0,0
