"","random","mean","X1.pop","X5.pop","X50.pop","X95.pop","X99.pop"
"50%",-0.000215242138819183,-0.00251950804460558,-0.0400392387665714,-0.00886461947159068,-0.000236477759764708,-6.20745217932428e-06,-1.41859306115211e-06
"5%",-0.01085592780344,-0.00750952235462765,-0.122543808737447,-0.0295847178318856,-0.000855580451562907,-2.39742871597612e-05,-5.59337921954845e-06
"95%",-5.68406401957323e-07,-0.000722112275017021,-0.0112718928105481,-0.00196454506526159,-1.36258273413599e-05,0,0
