"random","mean","1%pop","5%pop","50%pop","95%pop","99%pop"
-4.21682825839653e-05,-2.28143463517718e-05,-0.000347318332060685,-8.4533841922263e-05,-2.74255054560912e-06,-8.57658031316877e-08,-2.01871694149868e-08
-1.61978831214604e-06,-8.39997366463878e-05,-0.00130402116355042,-0.000288746359762332,-7.05037195436464e-06,-1.6013197834952e-07,-3.5503199293796e-08
-5.79617710594338e-06,-4.42146735743894e-05,-0.000688089442195015,-0.000157262956111309,-4.36232851885876e-06,-1.13637389842492e-07,-2.61370111487302e-08
-6.47110947316065e-06,-3.89069779466483e-05,-0.000567721614621859,-0.000145097463599286,-4.82469535079133e-06,-1.5325055119364e-07,-3.62495420869191e-08
-5.58998117794474e-08,-5.24794088044999e-05,-0.000718665977071412,-0.000197095472622699,-8.11084521329386e-06,-3.13541506996585e-07,-8.22788966869935e-08
-6.68480873988742e-07,-9.88277587903791e-06,-0.000143625930535213,-3.70761571623857e-05,-1.31394011521069e-06,-4.43599267874187e-08,-1.09805965653464e-08
-2.00441522379968e-06,-4.4711268406932e-05,-0.000654009475511681,-0.000163039840183016,-5.67542507706742e-06,-1.85053326795527e-07,-4.44991022829909e-08
-2.08689954783736e-06,-7.50880045067905e-05,-0.00106906730965244,-0.000286659432173092,-1.15486548872834e-05,-4.52532583838928e-07,-1.19433909264721e-07
-0.000228482841880484,-0.00012280764717843,-0.0017731061535981,-0.000465878208999121,-1.71612767094209e-05,-6.03049092395836e-07,-1.56553858039476e-07
-1.93579093655805e-05,-0.000104446160877678,-0.0014909979463341,-0.000394940164149632,-1.46129864254108e-05,-5.27518594728438e-07,-1.30375220528389e-07
-1.94796099028949e-07,-5.41619577597033e-05,-0.000779167583671932,-0.00020391736751959,-7.90485822343978e-06,-2.93646818871896e-07,-7.42575704626434e-08
-3.2587440830234e-06,-1.44406361187223e-05,-0.000200454698334903,-5.51357944817199e-05,-2.17344296110644e-06,-8.28674320663141e-08,-2.18804095819536e-08
-2.9379200723656e-05,-2.29962466263218e-05,-0.000330841279786184,-8.77868408576565e-05,-3.19935969511631e-06,-1.16341228195705e-07,-2.99427581063049e-08
-9.48971334548965e-05,-6.94578049295977e-05,-0.00100817605788269,-0.0002617383446118,-9.10089634159617e-06,-2.96981805197882e-07,-7.59873594935454e-08
-1.58926434673523e-05,-3.76901396010905e-05,-0.00056433869871073,-0.000140817204697785,-4.4025584798324e-06,-1.30861396796522e-07,-3.17187676435182e-08
-1.86056909168286e-06,-2.36579270644317e-05,-0.000320822149676706,-8.94757548939362e-05,-3.58979650816327e-06,-1.37347971679303e-07,-3.65698916482413e-08
-2.05105899542257e-05,-6.61120455986549e-05,-0.00094117405645955,-0.000248898629345967,-9.16198938116786e-06,-3.33081553133274e-07,-8.35784041874898e-08
-1.2608772151923e-06,-3.05074083796903e-05,-0.000443101247262108,-0.000115083695371754,-3.92242151520117e-06,-1.27518445031117e-07,-3.20046237689552e-08
-9.32085010041384e-06,-5.36953248882777e-05,-0.000784596328536645,-0.000197934867624383,-7.45211440716931e-06,-2.59660698015419e-07,-6.7790637078291e-08
-7.5527075423798e-06,-1.59775162585825e-05,-0.000237787977990331,-5.86809875389227e-05,-1.9782011099756e-06,-6.23609620609145e-08,-1.49189010523187e-08
-1.5158900333101e-05,-9.19957333868002e-05,-0.0013306270854412,-0.000347321362362629,-1.30882326470627e-05,-4.67012014859769e-07,-1.18361172104508e-07
-4.18860780837527e-07,-2.18510510214742e-05,-0.000331554199916492,-8.02372751346258e-05,-2.58426708266146e-06,-7.766490193184e-08,-1.84465609665007e-08
-2.87667659801816e-05,-3.24214222949789e-05,-0.000447690461415119,-0.000123623848266363,-4.86767820778722e-06,-1.86045634864573e-07,-4.90419444265642e-08
