"","random","mean","X1.pop","X5.pop","X50.pop","X95.pop","X99.pop"
"50%",-3.81872007593209e-06,-3.9403423904829e-05,-0.000589658854940328,-0.000143250849626444,-4.53106481967946e-06,-1.39601711510173e-07,-3.41890717409088e-08
"5%",-0.000181872158763563,-0.000158606871619164,-0.00237765194968241,-0.000575610628908203,-1.89484320123584e-05,-6.33016848935742e-07,-1.59588996037907e-07
"95%",-2.62832881570148e-09,-5.26959754586326e-06,-8.69704268707784e-05,-1.49871631421464e-05,-6.88813139110289e-08,0,0
