"","random","mean","X1.pop","X50.pop","X99.pop"
"50%",-0.000119331293593705,-0.00105983469619057,-0.0156027578886474,-0.000126869324807543,-1.08316257122431e-06
"5%",-0.00542543990423221,-0.00417582211305293,-0.0670802754224861,-0.000509164431221265,-5.70317248766808e-06
"95%",-3.50583555591699e-07,-0.000197459195005493,-0.00287165512056797,-5.45930653964857e-06,0
