"random","mean","1%pop","50%pop","99%pop"
-0.00999591576226333,-0.0046882442483892,-0.0492370645498162,-0.00155354198953961,-4.53258734813821e-05
-0.00015458913452826,-0.0017841888499296,-0.0191252594551567,-0.000566378898489539,-1.5697591486401e-05
-0.00252889989148897,-0.00738001470568637,-0.0833650175824056,-0.00217055146072259,-5.14969052435287e-05
-0.00222071127364365,-0.00541652010384727,-0.0574557977368864,-0.00174186247247682,-4.75410129686137e-05
-4.46107976684873e-05,-0.00640787130247199,-0.0694666982628078,-0.00202565942581223,-5.24793375123677e-05
-0.000171129924294799,-0.00108985821696979,-0.0124504232271572,-0.000318712338311544,-7.65783496561311e-06
-0.000520753367164284,-0.00401857081794747,-0.0443661923332307,-0.00122251329133233,-3.10024938058661e-05
-0.000268343247514236,-0.00316754448243898,-0.0334825051535481,-0.00102416194863969,-2.8773609058238e-05
-0.00871020930927069,-0.00511092276625772,-0.0558422072214327,-0.00156752287176959,-3.9880584953652e-05
-0.00231446919940415,-0.00620898410206491,-0.0708083945394739,-0.00179910980068926,-4.18169015536118e-05
-4.45730621503326e-05,-0.00370874957146369,-0.04118991767348,-0.00108277668347484,-2.53568768015832e-05
-0.00716828044535267,-0.0194440126947607,-0.207014769462312,-0.00643926278064427,-0.000166644944684316
-0.00245080932553365,-0.00169060148608669,-0.0212167968723827,-0.000405315786559168,-7.60790025413737e-06
-0.00925924741120687,-0.00484042944156301,-0.0544886998040128,-0.00144988868650098,-3.58620939089426e-05
-0.00782532739073516,-0.0104511890109746,-0.121100114091757,-0.00287505530450649,-5.97488102969711e-05
-0.00242439733388655,-0.0101866834506851,-0.111399006295918,-0.0031128277486378,-7.52745659553832e-05
-0.00165211054271963,-0.00276592240414061,-0.028487086304619,-0.000921298675484905,-2.84477582438358e-05
-0.000274304761084365,-0.0020423129964468,-0.0220151607291566,-0.000637148263112342,-1.70143110252763e-05
-0.00154308235636325,-0.00442688339673685,-0.0512122117043238,-0.00126112419492108,-2.94414266267884e-05
-0.00435307282235942,-0.00523989113963077,-0.0597715176742703,-0.00154598755936897,-3.72540864684222e-05
-0.000490165274948273,-0.00176514491625898,-0.0200806572833241,-0.000513615728957251,-1.2151621270563e-05
-0.000250673332295448,-0.0026765449354599,-0.0288574286740147,-0.000881735498129976,-2.53222591887736e-05
-0.00366405011214765,-0.00356333875169849,-0.0394791161314292,-0.0011119651121001,-2.88324113398086e-05
-0.00684522651581976,-0.00884297583201156,-0.0949732114154319,-0.00283792776504038,-7.75249505778405e-05
-0.000740267341227785,-0.00119791675159201,-0.0138526406075746,-0.00032963393183888,-7.24047854701703e-06
-0.0504351252866094,-0.0190153240448013,-0.218083033626015,-0.00531471843034714,-0.000112617067052366
-5.48016276578078e-05,-0.00339313544376613,-0.0376886977343206,-0.00103963177355942,-2.62452817641079e-05
-0.00114840584656928,-0.00708911399741485,-0.0823259338425576,-0.00197970485601717,-4.39719611596434e-05
-3.1225406226687e-05,-0.00174531194341876,-0.0203953183031108,-0.00047138315452866,-1.00794379771107e-05
-0.000418388111966372,-0.00210271598688542,-0.0233991215907602,-0.000648991454697267,-1.66503299405285e-05
-0.00183916143027729,-0.0050536149159354,-0.0546073794604832,-0.00157671029145356,-4.24696971711823e-05
-0.0127072026269037,-0.00622836544455271,-0.0641856086861682,-0.00207151788817017,-6.23685720274368e-05
-0.00111371545779193,-0.00493035939970574,-0.0539762552261424,-0.00154374013397246,-3.96804454895727e-05
-0.000386880504881559,-0.00297519359206356,-0.0320421526541255,-0.000937694602670125,-2.46321180692455e-05
-0.000759502064751394,-0.00216955316021492,-0.0226781232664907,-0.000711913572267742,-2.09752581633526e-05
-0.00239176463212942,-0.00428612103193333,-0.0447204907726576,-0.00140765362647671,-3.99902273938512e-05
-0.000105530932532627,-0.00198116005893954,-0.0213664219834444,-0.000619820868224596,-1.69410309573447e-05
-0.000184601543306129,-0.00827977542125176,-0.0955385686722362,-0.00226600150835549,-4.81211190720087e-05
-0.00211431477207635,-0.00586742735530079,-0.0668551027433923,-0.00172858835184903,-4.13617145799538e-05
-3.20492008839546e-05,-0.00449094425712768,-0.0469641685940325,-0.00146012350463892,-4.18142297000423e-05
-0.000443457146633519,-0.00233701935653817,-0.0247810657053541,-0.000768678138696466,-2.26593141962328e-05
-0.00047760748401926,-0.00395477357504078,-0.04515393032318,-0.00108950401802527,-2.4235004049663e-05
-0.000288400181948756,-0.00226427525525884,-0.0248403869903934,-0.000695021793564732,-1.83962879164356e-05
-0.00111583860091624,-0.0072950620624593,-0.0789085550529093,-0.0022575727951038,-5.69845204092101e-05
-0.000256494774754978,-0.00329565379737867,-0.0362888293049262,-0.00103619602883515,-2.81221806766507e-05
-0.00245428714084328,-0.00183004116079399,-0.0207819975511542,-0.000523608975673662,-1.22298742976956e-05
-7.04221767092728e-05,-0.00137418920151821,-0.0149803657251952,-0.000423178947227321,-1.11435073704269e-05
-0.000408897207677339,-0.00164933185792708,-0.0176964298039586,-0.000514354357654068,-1.36472231302309e-05
-0.000422344554978138,-0.00303784130099888,-0.0357367913159762,-0.000792490518082056,-1.63316599793728e-05
-0.0028904869278833,-0.00830157412479787,-0.0947948806146341,-0.00246935682695043,-5.79352942147016e-05
-0.000119599971185491,-0.00161661276351547,-0.0178770562821394,-0.000509852478864981,-1.35855797251549e-05
-0.00019809072758048,-0.00102365985202875,-0.0119309661327047,-0.000281011835285727,-6.17709170857905e-06
-0.00693538109152037,-0.00978469350355133,-0.102594086633692,-0.00325413294493482,-9.25791095783355e-05
-0.00214068001120948,-0.00196957553959811,-0.0227757322947324,-0.000562984324889548,-1.25691465244482e-05
-0.00050914841309424,-0.00845036828433309,-0.0957301276024699,-0.00259039845275266,-6.48897479771935e-05
-0.00191277853065708,-0.00210404753256354,-0.0216317215817638,-0.000712166529290625,-2.18071380663032e-05
-0.00195155875726616,-0.00353158902823685,-0.0364812916958578,-0.00118667500239822,-3.68682956175259e-05
-0.00291078043784732,-0.00238436284746232,-0.0275001931857339,-0.00068191214818103,-1.59601812412235e-05
-0.00126885173663793,-0.00093496404977543,-0.00965946605193046,-0.000313059571780738,-9.63418042528306e-06
-0.000127354607432961,-0.00182002453516499,-0.0199483143716764,-0.000543896785340781,-1.34319226438717e-05
-0.0038626986171143,-0.00147904112885847,-0.0163595121553961,-0.000450346735963503,-1.13294802411612e-05
-0.00161077664827713,-0.00259371158446238,-0.0285777630169636,-0.000794610686572161,-2.06834595370486e-05
-0.0135931340744261,-0.0036835533606143,-0.0416290881008491,-0.00110162750142445,-2.71158660918669e-05
-0.00103960557589733,-0.00156107865520244,-0.017294026387407,-0.000482432190300586,-1.23075083400048e-05
-0.00705855597253202,-0.00467015614588721,-0.048271269625854,-0.00161883305666011,-5.26780830999239e-05
-0.00431128941020764,-0.00577867002717993,-0.0649115628184627,-0.00173412668004763,-4.24846680911195e-05
-0.00152460466488324,-0.00357003955925021,-0.0397163230002172,-0.00103501341553175,-2.42363230276942e-05
-0.000992747763400192,-0.0125284382676312,-0.130480014846396,-0.00419555800280702,-0.000116969469659936
-0.00231230210976996,-0.00384829422853793,-0.0423840875932122,-0.00118904690958682,-3.02254418704673e-05
-0.000849591462282251,-0.00743437182186304,-0.0856620082973582,-0.00209297957913906,-4.52180720253947e-05
-0.000334109478205558,-0.00417561688534316,-0.0469287742774679,-0.00121100642697392,-2.83893652505251e-05
-0.000157071919000717,-0.000614657995140753,-0.00728690571901282,-0.000158896650028884,-3.20934780408177e-06
-0.0150107790947093,-0.00470611770439076,-0.0571265183796487,-0.00120984146727621,-2.38889731798508e-05
-0.000789176680827008,-0.00343716608053487,-0.0373294732780319,-0.00104879863153678,-2.67698464975008e-05
-0.00225608497556995,-0.00428881256454839,-0.0491046770679785,-0.00121178978858677,-2.72731968173422e-05
-0.000283554973842803,-0.00293247797687535,-0.0313493672293109,-0.000957567295955419,-2.73574422078092e-05
-0.000120419478137679,-0.00218751091977838,-0.0236444150578533,-0.000688863090086755,-1.89102806206698e-05
-0.0638756472320041,-0.00603180128423652,-0.0677058084988978,-0.00175845962127541,-4.07169289019014e-05
-0.0002201828326579,-0.00499860111114645,-0.0538425912142226,-0.00155971299565999,-4.09819191782212e-05
-0.0662393074979591,-0.012398373821041,-0.148651199822344,-0.00339528489492424,-7.03708338141694e-05
-0.000896274543436659,-0.000838545631007191,-0.00863882706252498,-0.000275626421351649,-8.07554076016958e-06
-0.00126763364431959,-0.00612269065445454,-0.0643409109381607,-0.002055900644028,-6.14233958424503e-05
-6.84010999812967e-05,-0.00360019192459201,-0.0374106571318953,-0.00118484660645896,-3.39449595195395e-05
-0.0136680931065603,-0.0040418256451005,-0.0418827027988764,-0.00133404476773757,-3.83417066285163e-05
-0.000688363927140223,-0.00170657675575905,-0.020808235501088,-0.000402358936463121,-7.08045127111423e-06
-0.000191846147405084,-0.00179972500536582,-0.0202850047694035,-0.000537331835746835,-1.32450773965342e-05
-0.00436087569046095,-0.00265066382537343,-0.0286591480366677,-0.000857718689490472,-2.49635265708513e-05
-0.00424880374273295,-0.00861212511214077,-0.0938931441247922,-0.00265285688788985,-6.78455399680963e-05
-0.00688977601256502,-0.00759581081571202,-0.0746988489782129,-0.00271199481306356,-8.80646738784707e-05
-0.0140057641572457,-0.00817552546398448,-0.0889075871697766,-0.00256144072207454,-6.52910641228654e-05
-9.41163267614842e-05,-0.00872704892655115,-0.097702860594393,-0.00269563850639792,-6.76986923366751e-05
-0.000495004248774245,-0.00852230061159615,-0.102265486128894,-0.00228137270740131,-4.52983123173767e-05
-0.0074782503630032,-0.00356858302575613,-0.0416258137684297,-0.000990320579007442,-2.17718629171359e-05
-7.21676928407966e-05,-0.0027856157546186,-0.032218716160374,-0.000764907714575658,-1.70322419641444e-05
-0.109567064491662,-0.00862247478654327,-0.0945732483964851,-0.00272195636067318,-7.07790178600542e-05
-0.000335208244723773,-0.00282062182580233,-0.0309914122246531,-0.000876434597505471,-2.29722474261207e-05
-0.000622801575612564,-0.00930460387597132,-0.103829853308682,-0.00292438140606094,-7.47005981685286e-05
-0.00209797758118879,-0.0142057918663025,-0.158108710724604,-0.00415086004061715,-9.22582488224798e-05
-0.0109721680452097,-0.00234604486930888,-0.0265017466569516,-0.000692885572597501,-1.71508682316412e-05
-0.0456455726889329,-0.0088902210841791,-0.0983857458023647,-0.00270847119601442,-6.78048000139153e-05
-0.0020699221237408,-0.0105179150019726,-0.118921182632703,-0.00311341295387252,-7.05012793056835e-05
-0.00182742731432906,-0.00415981194971689,-0.0433380433837821,-0.0013585104771795,-3.87274514592106e-05
-0.00163467538232376,-0.00265620907619624,-0.028472495728073,-0.00087021618531552,-2.51791834173231e-05
-0.000205267651973484,-0.00199423590494587,-0.0226406002600406,-0.000596658816597428,-1.51395714648927e-05
-0.000407425943164674,-0.00254318515718659,-0.0268771237428703,-0.000785502528749926,-2.10123028327025e-05
-0.000907068644848463,-0.00470544892451723,-0.0511843738623409,-0.00150645077446016,-4.16590315726417e-05
-0.000898706110169067,-0.00431754324863491,-0.0460169738756097,-0.00138355090768716,-3.62876767444209e-05
-0.000493951011980132,-0.00185832423989521,-0.0207544116256106,-0.000557173602755034,-1.39997422161397e-05
-0.000475661588665743,-0.00231017592591368,-0.0266362393380497,-0.000634062831867732,-1.4189273628642e-05
-0.00018065325543426,-0.00159581638711217,-0.0188916966403442,-0.000452262016216065,-1.02057820672907e-05
-7.66188977887605e-05,-0.00810104170408665,-0.0860201931685423,-0.00256791989532285,-6.68018606702157e-05
-0.000780154806591771,-0.0023235810950589,-0.0276996556339169,-0.000618264655351197,-1.24925388931962e-05
-0.00481273545118643,-0.00128483361168969,-0.0132793118080089,-0.000434888907755282,-1.27262126243488e-05
-0.00188446794378361,-0.00615219743677312,-0.0678871713132989,-0.00191787694498352,-4.7870100800721e-05
-0.00031656176757322,-0.0019512040525583,-0.0218842068768228,-0.000587760139718285,-1.48754696332553e-05
-0.0136598410580722,-0.00646494681605685,-0.0696630188099121,-0.00201671071842036,-5.1675994825896e-05
