"random","mean","1%pop","5%pop","50%pop","95%pop","99%pop"
-0.000742684351071832,-0.0002252247270689,-0.00236199350703098,-0.000869760000579228,-7.7397387496958e-05,-6.6341475671361e-06,-2.42856419961579e-06
-8.33487706360936e-05,-0.000472317473754061,-0.00447620232254189,-0.00176999278031147,-0.000186221883211324,-1.8324351126503e-05,-7.41851294578488e-06
-0.000361338519127563,-0.000605816435173022,-0.00688480215372665,-0.00232135725360076,-0.000177158211045136,-1.2812588346911e-05,-4.43512330948524e-06
-6.20723351933972e-05,-0.000213404123665087,-0.00219772370478362,-0.000821923845057848,-7.00696776430032e-05,-5.676924840059e-06,-2.00004871238834e-06
-3.0140980622706e-05,-0.00168790179256842,-0.015121145269388,-0.00628858137949674,-0.000681439552893848,-7.02258958528435e-05,-2.76095189471914e-05
-9.86362244672634e-05,-0.000547936883240211,-0.00529635564284208,-0.00207781341974403,-0.000208814980562855,-1.99059290333038e-05,-7.96706334009744e-06
-1.41816114869187e-05,-9.89940228387688e-05,-0.000931100110948569,-0.00036822949623011,-3.74093589743385e-05,-3.59748034748364e-06,-1.41280604073257e-06
-8.14849506068915e-05,-0.000823775829140897,-0.00819141111179297,-0.00313548074304517,-0.000295147944919305,-2.59929581981844e-05,-1.01934195944819e-05
-0.00076617070817353,-0.000774694556259426,-0.00715351041805767,-0.00292405875916166,-0.000308406770257619,-3.12792523121219e-05,-1.26885841395608e-05
-0.000724714732908138,-0.00160206367583103,-0.0160347570307386,-0.00613244718742343,-0.000567110084542521,-4.93907995009812e-05,-1.87464028265827e-05
-6.96195708693725e-06,-0.000528909419831559,-0.00542187943680184,-0.00202408352626956,-0.000178986006695137,-1.50314182659372e-05,-5.42288780858157e-06
-9.69360095303129e-05,-0.000223163717311793,-0.00191413487358378,-0.000802269267499334,-0.000101184473069449,-1.23739140309887e-05,-5.33574686791604e-06
-0.000683168934350609,-0.000435327840050464,-0.00421063584840277,-0.0016336665324097,-0.000165737300481472,-1.55949393066457e-05,-6.11263350753898e-06
-0.00134691936365816,-0.000651649642387449,-0.00594630005423923,-0.00238131191544584,-0.000267975568801315,-2.85637872609323e-05,-1.175343973979e-05
-0.000349193705766138,-0.000449401074288161,-0.00475877636708955,-0.00172897766142097,-0.000143415117752344,-1.12368417733266e-05,-3.91371753109437e-06
-5.39477921096543e-05,-0.000130338810298571,-0.0011235371219957,-0.000475521719276428,-5.64403147844117e-05,-6.32301608095577e-06,-2.70739870599889e-06
-0.000425103332013954,-0.000707308598184302,-0.00645815618363025,-0.00260576847839717,-0.000281900003887947,-2.86853554861078e-05,-1.12558181346267e-05
-7.92653007221089e-05,-0.0015448833135305,-0.0219854956299526,-0.00580243123651597,-0.000172119416546879,-5.09132639269217e-06,-1.15586751352925e-06
-0.000197823631726601,-0.000415964379169704,-0.00389659164312148,-0.00153550412806561,-0.000166343353237119,-1.67708017061785e-05,-6.72649896142352e-06
-0.000268295503127347,-0.000269892614855627,-0.00240616567303352,-0.00097920241868335,-0.000116954200617747,-1.33562378138774e-05,-5.51866031432202e-06
-0.000300513964324178,-0.00134074037661018,-0.0140102730276229,-0.00506242376498818,-0.000441812524502205,-3.55555773880856e-05,-1.27509853770558e-05
-1.96906272995623e-05,-0.000288070497854199,-0.00303847104781042,-0.00111783569622753,-9.13925393265513e-05,-7.13957764944542e-06,-2.49318242518948e-06
-0.000308149611357056,-0.000428133842015616,-0.00424216740661513,-0.00160987305456268,-0.000158519285769654,-1.4546892681272e-05,-5.52136162704552e-06
-0.00493159850033997,-0.00234496479136082,-0.027268845902073,-0.00915989462661503,-0.000571632889503737,-3.41357408171317e-05,-1.06321221174677e-05
-0.000999790877153073,-0.000826808967227609,-0.00816816703504321,-0.00310297287823816,-0.000304683903695424,-2.81810341408285e-05,-1.09803332721536e-05
-0.0010264183487777,-0.000451245398784261,-0.0043202452502007,-0.0016757770152,-0.0001696079085588,-1.61489735463816e-05,-6.32022825010736e-06
-9.73129909898063e-06,-0.00044965262896778,-0.00444475268617405,-0.00168869204292954,-0.000164091223663398,-1.52137500701477e-05,-5.8922429469832e-06
-0.000107368501275906,-0.000371388230143213,-0.0034478315853279,-0.00138256570002725,-0.000143820722911303,-1.43046091639787e-05,-5.68539601654483e-06
-6.62894775649292e-06,-0.000276732499971297,-0.00271993686573081,-0.00104250994867845,-0.000105602182286169,-1.02795746131701e-05,-4.00293402086138e-06
-0.000145810786542078,-0.000447873432320191,-0.00395642387121034,-0.0016369639157406,-0.000191005033700786,-2.08016557804336e-05,-8.55523288154857e-06
-0.00028557075888469,-0.00051488262874492,-0.00424679837129322,-0.00183481884273129,-0.000234149639229408,-2.89788690365389e-05,-1.23810079289677e-05
-0.000380236557668834,-0.000210213826819223,-0.00193455367229647,-0.000785607275442485,-8.3859590573887e-05,-8.68421166349556e-06,-3.45009238542193e-06
-0.000469905850560948,-0.00115992666974225,-0.0110032343836396,-0.00436695165579432,-0.000447773394778916,-4.38984046606584e-05,-1.72591082348417e-05
-3.00405038565765e-05,-0.000266295986795097,-0.00265617575629802,-0.00100423361487961,-9.46405737320966e-05,-8.32246519402724e-06,-3.10663587513415e-06
-0.000437179227057882,-0.000962668865498196,-0.00970947271675567,-0.00366267354993343,-0.000344898516910552,-3.06912473044652e-05,-1.16971322551618e-05
-0.000721650806263296,-0.00133034246550643,-0.0131461921467568,-0.0049955225972215,-0.000484521871596033,-4.4323952183728e-05,-1.67695614022001e-05
-7.35556650239833e-05,-0.00158791007682304,-0.0167505130366709,-0.00606111880234835,-0.000536879690455516,-4.54900139266136e-05,-1.61516628411607e-05
-3.05952074269866e-05,-0.000689734096504215,-0.00667350746459482,-0.00262599892790615,-0.000257300603461019,-2.40101877018784e-05,-9.43320912282881e-06
-0.000183343772604094,-0.000666467295442958,-0.00654172842019537,-0.00248846457388009,-0.000247151416255198,-2.30504132845755e-05,-9.0297108438142e-06
