"random","mean","1%pop","5%pop","50%pop","95%pop","99%pop"
-0.00246259562131068,-0.00163076753486989,-0.0258328181294915,-0.00580864395627562,-0.00014461318640846,-3.39895294708681e-06,-7.28180514214526e-07
-4.45626620909634e-05,-0.00323742039938588,-0.0498385495462587,-0.0119455577363587,-0.000355411182873411,-9.9387625302983e-06,-2.3229345366027e-06
-0.000183653547759621,-0.00214746227244672,-0.0339740535979344,-0.00758215714153081,-0.00018484194055457,-4.1863215668292e-06,-9.10634032936778e-07
-0.000276951398025527,-0.00163371804886522,-0.0249469929711656,-0.0059011977826036,-0.000170086959989435,-4.60735053680051e-06,-1.02966362470869e-06
-4.66049991643125e-06,-0.00796284364985424,-0.12494764647884,-0.0309001621971195,-0.00101999178722856,-3.18290387518128e-05,-7.69771638989944e-06
-0.000252941895782288,-0.00388843649390818,-0.0585979249821919,-0.0146014559927313,-0.000426758386901205,-1.19434446781974e-05,-2.81988896421614e-06
-0.000121724340747309,-0.00306226441561741,-0.046927586688283,-0.0111949016519705,-0.000314891931428529,-8.42977493376585e-06,-1.86596367792169e-06
-9.04977192631717e-05,-0.00495849151568629,-0.0785854768748125,-0.018787137633251,-0.00057509633999886,-1.65930711538698e-05,-3.95857874824433e-06
-0.0141794063822455,-0.00640322578518709,-0.102124987074002,-0.0246290930662761,-0.000696450299259577,-1.83873745361718e-05,-4.45964967404565e-06
-0.000992316471287835,-0.0066207609718247,-0.103278205872379,-0.0256286566796988,-0.000746860492195078,-2.07150249565746e-05,-4.76930006824361e-06
-5.74930135233132e-06,-0.00265315312189151,-0.0408465770310043,-0.00973190052651044,-0.000289770296744485,-8.03906224989271e-06,-1.82993820373455e-06
-0.000227274501059527,-0.00105322250813559,-0.0160721105585835,-0.00379088402973247,-0.000121174757187426,-3.64909097800292e-06,-8.67523192644714e-07
-0.00313490049156684,-0.00270746399651321,-0.0412174949564762,-0.00987962566599671,-0.000283417797724228,-7.59043157920192e-06,-1.72932903553136e-06
