"random","mean","1%pop","50%pop","99%pop"
-0.0125908131441819,-0.0044386254120601,-0.0545923381277984,-0.00109756357916541,-2.07055065351247e-05
-0.000771107057847109,-0.00871939543702852,-0.0970833147700332,-0.00268734128564785,-6.7080568907377e-05
-0.00208805524839395,-0.00584566710641952,-0.0724829040698523,-0.0013803486448638,-2.49371536513575e-05
-0.00152995874471562,-0.0044104330851755,-0.0497310149476772,-0.00129196904287732,-2.94430712526095e-05
-0.000182686278096367,-0.0216494253552801,-0.216535658757395,-0.00773341462479149,-0.000230863739389467
-0.00176893261217848,-0.0105334064089181,-0.11736963509235,-0.00323366611427817,-7.94509777356465e-05
-0.000943803776025098,-0.00827717564436425,-0.0942805717952638,-0.00238743525961682,-5.44452129000349e-05
-0.00111270152700238,-0.0134263406289857,-0.142958525739013,-0.00436662712998925,-0.000118280799608388
-0.025455632111177,-0.0174989846847011,-0.195188072431756,-0.00528594500162155,-0.000119656667582677
-0.00718368333067965,-0.0180857808433874,-0.197831888542924,-0.00560671572438404,-0.000135145827296531
-9.40891831709978e-05,-0.00714758933231116,-0.0770572274484888,-0.00216524763491072,-5.25241228838524e-05
-0.00110234906171836,-0.00280462013123712,-0.0297844402985942,-0.000912676059051765,-2.61689646828855e-05
-0.0118597173454887,-0.00731721624294323,-0.0837816485285094,-0.00212697041769649,-5.04424164386252e-05
-0.0155310526987665,-0.00803448796295617,-0.0894081725258983,-0.00247142947283496,-6.17437518234342e-05
-0.00570169755066485,-0.00825416782748283,-0.100509051814231,-0.00201028572555134,-3.52573461122752e-05
-0.000880155164028062,-0.00398096994123905,-0.039101040196508,-0.00138345798039519,-4.30098873677731e-05
-0.00546276181349703,-0.00989461637697238,-0.108327019515231,-0.00309545621077023,-7.78371142389042e-05
-0.000771818608642505,-0.00585784168671082,-0.0645906655471167,-0.00178878492833884,-4.52944881233208e-05
-0.00310575568345062,-0.00880598991484756,-0.101466121631222,-0.00254119596872554,-5.8395815959582e-05
-0.00553792655777652,-0.00615596057270346,-0.0667706605463121,-0.00200109499453593,-5.53463847732325e-05
-0.00448179029126161,-0.0156290173334964,-0.174423574601485,-0.00475144590570997,-0.000111083369469161
-0.000264610020821121,-0.0051041466942207,-0.062923954574485,-0.00128370120009064,-2.42922172499249e-05
-0.00779784369237713,-0.00663822125872067,-0.0687002690771596,-0.00222147519421756,-6.45901456395535e-05
-0.0176245480114861,-0.021647895816901,-0.225872596338304,-0.00722136990365835,-0.000197615104109935
-0.00893470019727294,-0.014105034277057,-0.161027978373392,-0.00417073059866191,-9.47787751459313e-05
-0.0249191557817154,-0.00911141782752023,-0.103214807558277,-0.00268626595549876,-6.33775500387899e-05
-0.00010388066966438,-0.007955012472634,-0.0906448311422391,-0.00228276674657596,-5.13522809167331e-05
-0.0010436700256935,-0.00620857846410617,-0.0658165012084852,-0.00199851650251598,-5.58775509190023e-05
-0.000112566245524692,-0.0061408286046051,-0.0713766485951839,-0.0016939254967972,-3.62910898846291e-05
-0.00160475648039149,-0.00779183162385835,-0.0843849359653144,-0.00251684609000585,-6.77633951889421e-05
-0.0028030245345666,-0.00751353810130518,-0.0787014739512398,-0.0024901786486371,-7.34101034895251e-05
-0.00566948686448432,-0.00289699345270543,-0.0315714649323592,-0.000903846266449182,-2.38138025652868e-05
