"","random","mean","X1.pop","X5.pop","X50.pop","X95.pop","X99.pop"
"50%",-0.000119788282032962,-0.00125341166850269,-0.01935863152309,-0.00446755641550057,-0.000131999422698815,-3.82987896035414e-06,-9.10448048928036e-07
"5%",-0.00514117732597273,-0.00399973131642895,-0.0621997615843213,-0.0152281991471366,-0.000480978259003306,-1.4830813896484e-05,-3.58639647273666e-06
"95%",-4.71015688630065e-07,-0.000324775460475466,-0.00506218107289413,-0.000886739027889276,-6.39287707303597e-06,0,0
