"","random","mean","X1.pop","X50.pop","X99.pop"
"50%",-0.000360507552508216,-0.000825771881623826,-0.00668622541328122,-0.000376108511468021,-1.94633049267256e-05
"5%",-0.00528040654784832,-0.00409002561018472,-0.0348986427041329,-0.00189556367933022,-0.000119831070403807
"95%",-4.83610579771754e-06,-0.000118232304726783,-0.00116849766481067,-1.91303856353048e-05,0
