"","random","mean","X1.pop","X5.pop","X50.pop","X95.pop","X99.pop"
"50%",-0.000116541681979776,-0.000376618939552356,-0.00388320208397603,-0.00144254016274686,-0.000126348178622449,-1.05337336640699e-05,-3.88499044382761e-06
"5%",-0.00208814370222955,-0.00151791831466523,-0.0157614539946076,-0.00578272764927378,-0.000516852835308718,-4.85534750111437e-05,-1.9014239784312e-05
"95%",-7.08857732550926e-07,-5.70587449752511e-05,-0.000714561000526089,-0.000225521163033313,-5.99353630025003e-06,0,0
