"","random","mean","X1.pop","X5.pop","X50.pop","X95.pop","X99.pop"
"50%",-0.000793376634090237,-0.00282085321458338,-0.0309823123095352,-0.0109665296494624,-0.000836587943484262,-6.09007016886043e-05,-2.12513455615842e-05
"5%",-0.0150270403084293,-0.0103402800543733,-0.112987558900021,-0.041173828561355,-0.00330667147944957,-0.000274256926410825,-0.000102710823521107
"95%",-7.89103500211113e-06,-0.000526433333681117,-0.00646594973242772,-0.00204091237353298,-6.3920456167918e-05,0,0
