"","bmd","AUC_dose_h.GM","AUC_dose_m","AF_interTK","AF_interTD","TK_var.GSD","TD_var.GSD","Intra_var.GSD","AF_intraTKTD","HDMI"
"50%",247.192278,1.47293151020118,0.347000914796129,4.11334574944688,1.0061525256669,1.79543932476341,2.26601407481175,2.77786920788556,10.7703046642902,5.4840490685082
"5%",162.15332355,0.561987818809559,0.192525381406501,1.41573797199535,0.461728416471855,1.40395447987063,1.9508109897835,2.28569339238139,6.84227775356769,1.36551574937049
"95%",398.6522422,2.16847053534469,0.612999541815923,8.53848653183098,2.18839616663963,2.96712371690396,2.71555086689539,3.99200790213267,25.0368875056804,23.80824735119
