"random","mean","1%pop","5%pop","50%pop","95%pop","99%pop"
-1.85518267414864e-13,-0.000913154184238691,-0.00394017037412681,-0.000100519227074231,-1.55346419061786e-08,-2.20741203094122e-12,-5.89461812694479e-14
-1.43482081771396e-09,-0.00185990261993253,-0.0124097214230487,-0.00028668001355116,-4.06141044129171e-08,-4.96077068312673e-12,-1.39268596655027e-13
-0.00192704459449144,-0.00131502752133001,-0.00722159084746051,-0.000172063841838177,-2.51845372334358e-08,-3.41827677274868e-12,-8.53694892555266e-14
-2.80934255380005e-05,-0.00129933357872677,-0.00720030199095112,-0.000178672464354307,-2.74155765311868e-08,-3.88852283705889e-12,-1.08894004924309e-13
-1.46234284781332e-06,-0.0017098067578123,-0.0109953618751597,-0.000274169144415993,-4.52428104424918e-08,-7.22867876667978e-12,-2.02152738992822e-13
-7.77085173986336e-10,-0.000511942347547394,-0.00197212019456653,-4.85936869709269e-05,-7.38767708119425e-09,-1.12017617404092e-12,-3.01858538165332e-14
-1.08398068299209e-10,-0.00145188763075965,-0.00830276112346873,-0.000205264762684976,-3.23480751074356e-08,-4.67561545036691e-12,-1.28553834244371e-13
-1.77076464602521e-10,-0.00206593968130698,-0.0153631576366459,-0.000391058449625864,-6.55145667161073e-08,-1.04903585818051e-11,-2.79068990138852e-13
-1.96949678787917e-10,-0.00260288527408571,-0.0244689139722846,-0.000603851293290053,-9.7075819049941e-08,-1.49382617387062e-11,-4.04161148992442e-13
-4.93360907682927e-12,-0.00239593642718046,-0.0215393425898623,-0.000525716314151026,-8.2941723822394e-08,-1.29389277070403e-11,-3.46035422538193e-13
-3.47775119935445e-05,-0.00170498563367827,-0.010985194800809,-0.0002720351139191,-4.5155638950245e-08,-7.00740576675689e-12,-1.87626580938626e-13
-1.68947691392418e-08,-0.000753075487995212,-0.0029235712602247,-7.62489568971125e-05,-1.22837755522909e-08,-1.92384996822171e-12,-5.29520871594968e-14
-2.45736764270532e-10,-0.000996997631961789,-0.00465504448447325,-0.00011259260103591,-1.84592690577468e-08,-2.777456042935e-12,-7.43693995275404e-14
-2.86332751620044e-07,-0.00188812583762935,-0.0132762450821734,-0.000322733133316877,-5.07632180180018e-08,-7.49114659193143e-12,-1.97366567533663e-13
-6.01038551073518e-06,-0.00126861363649235,-0.00673444762254773,-0.000165547996450788,-2.4891683991779e-08,-3.53893025994983e-12,-9.74442748713492e-14
