"","GM_moe","GSD_moe","zran","sigma_intra","MOE_1perc","MOE_ran","z_frac"
"50%",283.812050708461,4.07180690757429,0.0014664653962564,0.951473399070324,10.3400525525759,289.304224317004,-3.98184917917777
"5%",89.4333274577697,3.5867967343373,-1.64009524832667,0.751820210963512,2.82444564885374,20.6728123963718,-5.04903689574327
"95%",1047.50494637135,5.41123777640967,1.64277370730363,1.33596377576876,40.6152984381333,4251.35166862402,-2.99962827570276
