"random","mean","1%pop","50%pop","99%pop"
-0.0039751314802291,-0.00110599174487849,-0.00895672171291442,-0.000504709259488367,-2.64439064373034e-05
-0.00123232786903671,-0.00406373353443372,-0.0414949478792053,-0.00130833187716145,-3.7295191902088e-05
-0.0021439794245669,-0.0021536368316608,-0.0196500114443442,-0.000812701612141031,-2.88524985967264e-05
-0.000692594915139844,-0.00188181274198184,-0.0150586021721249,-0.00089111885273524,-4.76181590400081e-05
-0.000173359259391437,-0.00249316658396922,-0.0158565254716579,-0.00149445790895875,-0.000133514236871013
-0.000107349293005043,-0.000476212183948274,-0.00350885218932226,-0.000240410309942651,-1.5479823685145e-05
-0.000384047851665792,-0.00213938942140225,-0.0165568718448409,-0.00104195198249635,-6.31363969549725e-05
-0.000882969985592563,-0.0035683235947375,-0.0222487466273544,-0.002136158143343,-0.000191409304223622
-0.00357079559411644,-0.00585985479879087,-0.0407092499629229,-0.00315570995402842,-0.000225290060866553
-0.00330685815222453,-0.00499621689366817,-0.0350518412675468,-0.00270309236258715,-0.000197967281607921
-0.000134657701478247,-0.00258080141808118,-0.0170398691566904,-0.00146305109693279,-0.000118951862025401
-0.00027886738698224,-0.000688616071194715,-0.00455947006007402,-0.000399545627874087,-3.44837389077734e-05
-0.00165044806479386,-0.00110123499013227,-0.00766944565751018,-0.000596190341788816,-4.39856796917603e-05
-0.00675990259836179,-0.00334474942275068,-0.025135438152804,-0.0016605817562465,-0.000101776991034334
-0.00162945646592005,-0.00182357778544766,-0.0154450156424129,-0.000807036714085219,-3.97910874929763e-05
-0.000837992028381529,-0.00113600018181597,-0.00733111866246828,-0.000659319544178472,-5.54705165578795e-05
-0.00216772016055822,-0.00314989703410656,-0.0221516861213979,-0.00169672063300941,-0.000122427886842423
-0.000452073595921032,-0.00147991093013532,-0.0112430851362235,-0.000722539196494176,-4.36102880420186e-05
-0.00160768619224927,-0.00257365683250813,-0.0184933160417084,-0.00136335332857268,-9.50159751200274e-05
-0.000678611831667175,-0.0007730311078724,-0.0062519879768687,-0.000364834239103495,-1.98716121113895e-05
-0.00163827662541327,-0.00440088396169921,-0.0304456404089581,-0.00239876396752553,-0.000174869759887637
-0.000124416776676628,-0.00106200929059474,-0.00874651225306242,-0.000474975604846717,-2.40315930804879e-05
-0.00124289825414581,-0.00155125095030465,-0.0102280384640596,-0.000899224471186177,-7.49144515337152e-05
-0.0141192655355358,-0.00662370511662982,-0.0443596559988275,-0.00366526338159523,-0.000278342683495301
-0.0132940157645105,-0.00560042317886394,-0.0453083766913803,-0.00254880799507523,-0.000129204136590149
-0.00433884161542009,-0.00243985881582015,-0.0184924664540163,-0.00119759764154437,-7.08273342788379e-05
-5.01001778140386e-05,-0.00112690839628215,-0.00868130847650808,-0.000549304417116203,-3.20584383760979e-05
