"random","mean","1%pop","50%pop","99%pop"
-6.58191629199223e-07,-0.000620498201328743,-0.00924249320545278,-7.33558578280835e-05,-5.94132879435658e-07
-0.00010970732196236,-0.0028641857133932,-0.0480324354094581,-0.000189265398783778,-7.51690536117122e-07
-0.00184438325771719,-0.00140950964793036,-0.0227397061758193,-0.000117804656049658,-6.28545544457681e-07
-0.000220326464329346,-0.00102678612154901,-0.0151995360010386,-0.000129373600945559,-1.0893125924738e-06
-3.95243637191234e-05,-0.00105158833582486,-0.0137560400686523,-0.000217570923158716,-3.48936984055469e-06
-1.63987724939307e-05,-0.00024238344161836,-0.00350157248958737,-3.48939190333852e-05,-3.6138075682146e-07
-1.57733614812861e-05,-0.00112185588971728,-0.0159984081926561,-0.000152024074056345,-1.42245451109413e-06
-0.0165548301299842,-0.00150036439388697,-0.0197412824329488,-0.000309961970500761,-4.90878058959643e-06
-0.0045307434211701,-0.00276217727023158,-0.0392243166810164,-0.000461516930934491,-5.3110320822558e-06
-0.000139749194992045,-0.00236569902938699,-0.0337951706989747,-0.000391049588214842,-4.58354721005081e-06
-7.81004569760935e-06,-0.00116131714862722,-0.0162562818153826,-0.000209806054223716,-2.8634996017951e-06
-4.96795097970626e-06,-0.000301924838753841,-0.00404302012287784,-5.85819454902436e-05,-8.45150249046966e-07
-0.00334061821677534,-0.00051927155708025,-0.00721183201854227,-8.73237643651548e-05,-1.04907215986216e-06
-0.000873308894085434,-0.00171212544433764,-0.0253283857974918,-0.00024245300988196,-2.36012704637134e-06
-1.7434712764719e-05,-0.00104977384538188,-0.015911089029951,-0.000116506987291709,-8.82540098546821e-07
-0.000225930624999648,-0.000500504043358917,-0.00681607902942044,-9.5125210973046e-05,-1.39354827454863e-06
-0.000173483759451809,-0.00149102042677566,-0.0207801792073575,-0.000246280335339633,-2.95091269043923e-06
-5.02475581836137e-05,-0.000776603873895371,-0.0115431626174103,-0.000105819528349649,-1.00257024826078e-06
-0.000114230744369448,-0.00123767038506055,-0.0176150749875517,-0.000200973180623676,-2.32326225997781e-06
-1.60362819211501e-05,-0.000422659769038727,-0.00614187670785006,-5.26924019742525e-05,-4.6053277541036e-07
-0.00131583613538588,-0.00206738141895801,-0.0294468744124415,-0.000345973324394733,-4.20844677191611e-06
-0.000165825057584446,-0.000609528666699326,-0.00921997783616361,-6.85707528730317e-05,-5.31456269267092e-07
-6.34530498977437e-06,-0.00068535735231645,-0.00915754019953237,-0.000129895698404936,-1.88305209417039e-06
-0.00507626475458367,-0.00303303215082603,-0.0417965103540551,-0.000531869943876107,-7.03704661021431e-06
-0.00081212308221168,-0.00307680683507209,-0.0467832455691424,-0.000367008986449757,-2.81703723513438e-06
-0.00166399919142024,-0.00127485048512459,-0.0193265354869405,-0.000174153240758756,-1.64185984089071e-06
-3.44732213044541e-05,-0.000594947421488499,-0.00879463875570717,-7.91462469978965e-05,-7.49243173117086e-07
-0.00435713084569145,-0.00352128819012983,-0.0611836257649594,-0.000111334282135722,-1.92407640038361e-07
-0.000115157621121353,-0.00195465056480865,-0.0313711700308275,-0.000118203419760765,-4.39512660316277e-07
-6.73828463138015e-06,-0.000838232535695084,-0.0112863441113627,-0.000165415985749318,-2.54670162472492e-06
-0.000202883372211082,-0.000886539978513854,-0.0116475713616405,-0.000173120439114494,-2.61893260951828e-06
-0.000802978708369873,-0.000291903421592346,-0.00394533344018896,-5.2791009080122e-05,-7.2461504854404e-07
-0.0223246754390461,-0.00246055773233892,-0.0333613777564878,-0.000467329304537023,-6.56867132097559e-06
-0.00276524715976967,-0.00080814566307331,-0.0116388100154022,-0.000101190464249168,-8.8615159062666e-07
-0.00143507717639257,-0.00221172644680785,-0.0319737643282785,-0.000308254515745343,-2.96054370822807e-06
-0.000535042217288617,-0.00487335058591402,-0.0796790902625981,-0.000581005690243608,-4.46576992502611e-06
-0.00109782999379171,-0.00372791041887885,-0.0556990763268672,-0.000510779720972521,-4.69937838933454e-06
-0.000279906285612808,-0.00151835787034481,-0.0252142208009975,-8.7521382547695e-05,-3.15290611684337e-07
-0.000581488635598038,-0.00274615247200026,-0.0381081435390911,-0.000456883156723986,-5.53331322332373e-06
-5.74000983454281e-05,-0.000693358951694857,-0.0102667436889781,-8.61183855558334e-05,-7.21550176578932e-07
-1.45977668944974e-05,-0.000521899676686028,-0.00743942489573687,-7.55884107204174e-05,-7.78057165697898e-07
-0.000621878433629708,-0.000581880581907783,-0.00889882691880091,-6.51037633872531e-05,-4.87432674826093e-07
-4.78395869238923e-05,-0.000543757037910731,-0.00727364796257224,-0.000107188951571857,-1.57040250912233e-06
-7.80299830167586e-05,-0.00243598302537806,-0.0372813099415689,-0.000243396053076161,-1.57885404701963e-06
-0.00161812975035736,-0.00665777719867153,-0.104870548159815,-0.000795574751480621,-5.84563216796451e-06
-0.00236218635623264,-0.00178564109493335,-0.0276317913686422,-0.000207016861957565,-1.63124641240464e-06
-0.00317189418764496,-0.00213964963496753,-0.0304961210946038,-0.000358458485146262,-4.35723349444638e-06
-0.00040896785927369,-0.000958623573791489,-0.0141539207704273,-0.000130805178421511,-1.2764751500105e-06
-0.000268859726971216,-0.00122394403041004,-0.0172631354284806,-0.000180843829202748,-1.89998201823971e-06
-0.000127874717168242,-0.00158853654471924,-0.0233660452447619,-0.00023721717987002,-2.51735768370675e-06
-2.96554622596368e-05,-0.00143703014060183,-0.0188810248041951,-0.000307416838074004,-5.32548524472264e-06
-0.000338842105917392,-0.0018942551192183,-0.0249030961777464,-0.000410310205016584,-6.99889667916451e-06
-0.000211953780159591,-0.000571362768948124,-0.00788569154127615,-9.47133602575145e-05,-1.16556918896116e-06
-0.000419637097231584,-0.000418717215154074,-0.00528642200191689,-9.45312490394645e-05,-1.7130613424765e-06
-1.68445141954798e-05,-0.000537875767048204,-0.00788009130406365,-5.35803619519104e-05,-3.66662679731619e-07
-0.0432504265303931,-0.00320672464966831,-0.0497855421510869,-0.000334633619037905,-2.19669081898632e-06
-2.06742374408986e-05,-0.00169765648903028,-0.0248192332684206,-0.000248224474457381,-2.52672033848933e-06
-0.00122936898744286,-0.00400341499064727,-0.0702002442371353,-0.000197472795701148,-5.73498932865402e-07
-0.000405970957123469,-0.000160764162737057,-0.00233645475218148,-1.96634015564023e-05,-1.65539966773265e-07
-2.8224800267318e-05,-0.00123058394819924,-0.0189267784233221,-0.00013670985222336,-1.03110530374817e-06
-5.70840267948292e-05,-0.00143667195946781,-0.0219639571694134,-0.000140145479218423,-9.0449523925562e-07
-0.000120695537760285,-0.00263220480058534,-0.039415845122289,-0.000325802823222809,-2.735998654807e-06
-0.000172218766836485,-0.00494686672543756,-0.0692454950232524,-0.000952639860578475,-1.34056999068988e-05
-2.44572058232251e-05,-0.000411596195322146,-0.00608022556684972,-6.13217054334925e-05,-6.38652255665616e-07
-1.47493034173829e-05,-0.00079989852624665,-0.0108293117218961,-0.000151152564927037,-2.15619303988612e-06
-5.35092382880631e-06,-0.000474326413717368,-0.00678071632939705,-6.48147227277351e-05,-6.31216920609079e-07
-0.00658838345548807,-0.00106405775756193,-0.0149368541421517,-0.000167578615658637,-1.86431902735262e-06
-0.00104101327559547,-0.00412386073294811,-0.0720721012669963,-0.000240162337682204,-8.13798776272412e-07
-5.24300782350773e-05,-0.00222801638724705,-0.0317386357589847,-0.000363992707932526,-4.35683462717717e-06
-1.80174652378851e-05,-0.000223251120018701,-0.00297444089309472,-4.48068620450548e-05,-7.06183399842296e-07
-1.34861917227003e-05,-0.000585576667647691,-0.00803680796030542,-0.000106749594116273,-1.44818953466408e-06
-0.00149077289944766,-0.00205245704563,-0.0304021601682573,-0.000277035860760944,-2.48703078988388e-06
-2.58186381687509e-05,-0.000447998751695049,-0.00648759218440674,-7.02834792751794e-05,-8.06374187609645e-07
-0.000106685359323344,-0.00094384300220018,-0.0152756084419096,-7.40625628864455e-05,-3.7891317436145e-07
-0.000185184452619613,-0.00371509673710202,-0.059503963023052,-0.000349250063601148,-2.08963247943727e-06
-0.000725394955748304,-0.000119654839652967,-0.0016881818532758,-1.78345740146635e-05,-1.94332565083277e-07
-0.000430286002691793,-0.00140174959130359,-0.0197347090727849,-0.000210814429243922,-2.21311856033912e-06
-0.000762320653285409,-0.00142077015031298,-0.0181280308879987,-0.0003051647254248,-5.18044658109784e-06
-0.000711318479809764,-0.00646102555677161,-0.108722816807033,-0.000542598289230978,-2.59773147534003e-06
-0.000452506562156119,-0.00177420222437523,-0.0263367450889085,-0.000226280185830485,-2.01429894084559e-06
-6.15788939601902e-05,-0.00242507723430181,-0.0384020568556902,-0.000251786185727909,-1.69109786239407e-06
-6.76236398311492e-06,-0.000451455278713635,-0.0066636120530849,-5.81073924244557e-05,-5.11551441634283e-07
-0.000877893303438348,-0.0010680416091142,-0.016117587161625,-0.000124933711962316,-9.78190697736858e-07
-6.49004987163249e-06,-0.00182933880865203,-0.0253094218715882,-0.000323338795131578,-4.24453157998772e-06
-0.000695956695127564,-0.00170642232093462,-0.0242614915129679,-0.000290573609588063,-3.66632224120477e-06
-0.00542541503260796,-0.00147114024212519,-0.0235416291732134,-0.000124638085267081,-7.0876312867285e-07
-5.61470290365573e-05,-0.000598413141177148,-0.00914435368810375,-6.13750262851154e-05,-4.31426418141534e-07
-7.92837173896332e-05,-0.0027139098320039,-0.0407604274554832,-0.000387488257276469,-3.83583462035486e-06
-0.00030659780959863,-0.000451148772242371,-0.00615749856173107,-7.5843714915258e-05,-9.48841510758358e-07
-1.299211399719e-05,-0.00119180778549329,-0.0172027093728191,-0.000166214879128712,-1.61191076041511e-06
-1.10019255976646e-05,-0.000567677231717659,-0.00708216371364124,-0.00012776048455132,-2.34182758313661e-06
-0.000570226616353198,-0.0013634469853135,-0.0188847214423332,-0.00024179420288839,-3.19590057670349e-06
-3.19725837362173e-05,-0.000205216009642303,-0.0029629304699761,-3.09969807703592e-05,-3.4840796820923e-07
-1.10073415978684e-05,-0.000346701167676028,-0.00456938381895327,-6.75124498246138e-05,-1.03387607871208e-06
-0.000192739519895624,-0.00426049659697044,-0.0710943572628657,-0.000325322110828363,-1.4732290179742e-06
-0.000713136909241352,-0.00287165326186226,-0.0484315399347039,-0.000135481444399288,-3.83510663938268e-07
-0.000250246034893986,-0.00174067411104425,-0.0278375556020087,-0.000176963284037768,-1.18293556178094e-06
-7.8346979641819e-05,-0.00214851554453529,-0.0317864831719101,-0.00027569474945327,-2.40805010201628e-06
-0.000193105817954398,-0.00192452272242368,-0.0270196628990379,-0.000328905549196956,-4.10631393895077e-06
-0.000972967923477119,-0.000891229496697572,-0.0120485138827715,-0.000177996679024572,-2.71876256455972e-06
-0.000108259209841921,-0.000313693358414146,-0.00445443840024288,-4.84494159788684e-05,-5.56802419371393e-07
-7.20592510891072e-05,-0.00101214448453769,-0.0135622933041972,-0.000193428093641812,-2.8152986937957e-06
-0.000270481523943933,-0.00299010538784095,-0.0473282141513207,-0.000304655143679833,-2.02594221387796e-06
-6.26974131179292e-06,-0.000116749798312657,-0.00139378186664144,-2.89151486042027e-05,-5.88806013729346e-07
