bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,1,0.242712261,0.250419127,0.375089808,0.247748803,0.454357204,0.36658672,0.371534218,0.222358457,0.255974847
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,2,0.252735942,0.266601238,0.342819198,0.226595164,0.419000233,0.476255353,0.330919023,0.243683406,0.289596703
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,3,0.237009469,0.251818721,0.373820725,0.238194047,0.474043192,0.270576427,0.271086088,0.212373446,0.260035459
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,4,0.241591032,0.269768017,0.326569464,0.210848437,0.479483799,0.435237825,0.41524433,0.21909886,0.272504008
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,5,0.236066501,0.223572493,0.265299357,0.231000956,0.264040573,0.289263642,0.36738928,0.236862975,0.278796571
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,6,0.25219599,0.246560907,0.348617775,0.213131621,0.278237515,0.42675492,0.422865376,0.228367658,0.250518859
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,7,0.235213099,0.259936343,0.268557812,0.213412558,0.355184835,0.312563283,0.254017414,0.210880739,0.261410966
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,8,0.236078946,0.269389345,0.370651946,0.264217782,0.414289986,0.273753824,0.383945097,0.212976555,0.249431883
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,9,0.252015864,0.255040414,0.294650976,0.273696471,0.437319852,0.25253532,0.350148575,0.263283769,0.294305713
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,10,0.246605575,0.249953072,0.372152951,0.223589672,0.340436623,0.191435743,0.25661804,0.240058706,0.253341626
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,11,0.258975575,0.254461837,0.348408319,0.26692307,0.324392349,0.411321652,0.404179753,0.237792581,0.276820215
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,12,0.25932216,0.238039457,0.306178956,0.226234233,0.29295317,0.321871909,0.410078061,0.236694679,0.263437944
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,13,0.251002992,0.217306288,0.371409216,0.212179375,0.442749422,0.330399087,0.345194761,0.244591325,0.292315253
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,14,0.248836429,0.244636688,0.330397465,0.260961717,0.36532632,0.380368434,0.353114311,0.200568513,0.256508661
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,15,0.268511716,0.225585841,0.423889181,0.220287341,0.422705738,0.392690183,0.2919907,0.20418263,0.261483406
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,16,0.257496835,0.233293129,0.323561768,0.261661904,0.445069715,0.423529693,0.432482409,0.222072064,0.263197098
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,17,0.244669763,0.224754396,0.363751181,0.219931691,0.287645452,0.358862926,0.410273887,0.229450163,0.252945995
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,18,0.245342651,0.248648947,0.273347329,0.217613645,0.458703499,0.284688961,0.368614192,0.228990358,0.268895794
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,19,0.264662468,0.250834224,0.438205175,0.197440637,0.384676207,0.311421132,0.368307077,0.240995451,0.275174577
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,20,0.261517051,0.24287298,0.328597706,0.247105042,0.331743974,0.425226578,0.304426038,0.207641866,0.295799001
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,21,0.243706406,0.241912557,0.349932535,0.193142681,0.340855601,0.436560528,0.290799652,0.219921569,0.257550033
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,22,0.246317547,0.248897189,0.399083609,0.245176883,0.451597104,0.313931279,0.312610662,0.226363533,0.25799898
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,23,0.274296368,0.262778479,0.324500675,0.245831565,0.304472191,0.239130312,0.33791655,0.229567269,0.282033715
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,24,0.233507149,0.239405096,0.301884266,0.238070683,0.417938476,0.238450419,0.296099407,0.172953098,0.276285298
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,25,0.25940235,0.250764648,0.319085848,0.237964994,0.349147827,0.333165197,0.374622319,0.232913277,0.242182484
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,26,0.240236016,0.275760587,0.271568402,0.256830806,0.270599503,0.326898373,0.268550235,0.209299735,0.258789716
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,27,0.233074624,0.255361123,0.269318202,0.233451536,0.351025292,0.377701714,0.340239819,0.22262592,0.257467064
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,28,0.247995477,0.253713198,0.365920118,0.207330158,0.307930088,0.274176386,0.363000319,0.207927896,0.26199778
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,29,0.217969289,0.248334611,0.411336436,0.220752525,0.46137831,0.312242156,0.368000018,0.226783214,0.255666631
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,30,0.245218395,0.250570558,0.308754414,0.248758432,0.375883574,0.308441084,0.305458386,0.195113141,0.284847991
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,31,0.250859337,0.238233899,0.336000266,0.214003493,0.413232115,0.259009734,0.304553301,0.223860399,0.253010588
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,32,0.276206664,0.25261065,0.365634017,0.24307649,0.324316942,0.438907908,0.353953313,0.218974098,0.259947113
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,33,0.251082121,0.250661166,0.361373216,0.23427466,0.480483607,0.383865804,0.345659096,0.216863521,0.258810198
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,34,0.248790251,0.276677105,0.286230574,0.220752525,0.37105003,0.380953028,0.426188332,0.245375923,0.259859204
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,35,0.234636269,0.242694549,0.27721757,0.231540533,0.375759908,0.384354694,0.39611125,0.221451769,0.244420611
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,36,0.239215235,0.250102844,0.320728612,0.229943673,0.455453472,0.294997491,0.280744936,0.227154557,0.273105121
