bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,37,0.240825938,0.22952585,0.303246844,0.254299261,0.39229579,0.347477084,0.329918741,0.244765934,0.253459461
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,38,0.250622252,0.241473715,0.319620207,0.228741772,0.271277228,0.407690042,0.313167765,0.215127254,0.276044881
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,39,0.241474823,0.263425078,0.383626986,0.227075839,0.440397017,0.34400191,0.28233296,0.208355582,0.265736322
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,40,0.270841806,0.242913642,0.363398674,0.234176806,0.370909616,0.473373234,0.271439081,0.231167921,0.276570231
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,41,0.238321461,0.253026295,0.370678102,0.275246106,0.427556057,0.259844514,0.259744101,0.215139873,0.251806863
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,42,0.239959642,0.254964246,0.392269307,0.267822491,0.396128262,0.381534904,0.303638258,0.233115788,0.256451115
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,43,0.241543321,0.251876872,0.342355999,0.238900246,0.461787942,0.26024883,0.383125233,0.239494233,0.266284477
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,44,0.252572446,0.237187369,0.294536152,0.218942322,0.279768807,0.363767541,0.316181314,0.208994572,0.277578907
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,45,0.227012832,0.238908107,0.266417116,0.251195885,0.490682793,0.280289354,0.302989793,0.197534357,0.264747243
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,46,0.242493255,0.256091876,0.38170635,0.206550696,0.253069153,0.462667144,0.382596507,0.21968687,0.292577994
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,47,0.222814735,0.274514272,0.427539282,0.231892289,0.452290722,0.478070657,0.284429546,0.204484593,0.291497011
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,48,0.278553281,0.24040438,0.368225,0.226719431,0.480628693,0.282556673,0.266915824,0.202267477,0.253920745
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,49,0.242442594,0.222307095,0.27279272,0.246573163,0.377817183,0.278777153,0.314452112,0.256978318,0.272053235
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,50,0.282772927,0.220868043,0.29381257,0.213771185,0.207556632,0.261304102,0.365673161,0.233545575,0.258881759
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,51,0.266686612,0.24660449,0.299874689,0.244763872,0.291632551,0.229081752,0.380273457,0.18226366,0.275894084
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,52,0.245267891,0.249477446,0.337384517,0.216246108,0.464048686,0.299535456,0.371243905,0.233734389,0.277979363
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,53,0.29563242,0.243755867,0.251366553,0.237663675,0.281655783,0.392152486,0.28716852,0.225810406,0.275633261
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,54,0.254065193,0.254006983,0.293806289,0.260089304,0.467547655,0.256614892,0.287202867,0.22299725,0.27950527
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,55,0.271875756,0.241580344,0.312827735,0.232418602,0.458664185,0.303609133,0.340444178,0.234130826,0.268241845
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,56,0.22704882,0.248580866,0.248399278,0.203153944,0.364811211,0.380539864,0.318254512,0.181934406,0.281342166
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,57,0.240309363,0.25140857,0.352156316,0.231375572,0.41098824,0.331147202,0.358153487,0.203809033,0.314133615
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,58,0.250220691,0.238728354,0.348560897,0.230934977,0.264033132,0.385869549,0.355598309,0.184940863,0.237835631
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,59,0.248411065,0.24112825,0.431540415,0.215495326,0.340966928,0.359488618,0.271642022,0.173188307,0.242976136
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,60,0.22943173,0.261684743,0.298861886,0.242210028,0.467695673,0.29916695,0.37837475,0.235941436,0.274909631
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,61,0.22202825,0.236338593,0.328695005,0.212877045,0.374438946,0.329652173,0.270823372,0.228562797,0.276735984
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,62,0.247821057,0.249203834,0.378136154,0.247734222,0.275749987,0.458620262,0.337658952,0.239946419,0.28926127
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,63,0.251060932,0.250683745,0.360686316,0.219709598,0.421216864,0.310392698,0.300787507,0.21920156,0.288141576
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,64,0.232764125,0.23270495,0.243372831,0.234825952,0.458773566,0.239502766,0.280985444,0.227032219,0.302700029
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,65,0.266411049,0.216768604,0.299043223,0.238013589,0.381669686,0.268046472,0.278309005,0.212986675,0.265903685
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,66,0.270228521,0.224578233,0.295552905,0.248187605,0.441111422,0.399863779,0.345171465,0.20282743,0.27699449
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,67,0.224454971,0.286460983,0.366646857,0.219474159,0.285287584,0.289905582,0.312906815,0.220290968,0.272125643
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,68,0.224165363,0.246067651,0.290154642,0.220752525,0.355816025,0.268930013,0.281778916,0.203986751,0.261377665
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,69,0.239950412,0.25920475,0.343630546,0.228099436,0.42281772,0.293549513,0.318317455,0.221382308,0.261525537
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,70,0.250193255,0.252706257,0.3793435,0.247735679,0.226339945,0.424975501,0.341009501,0.204416175,0.275791913
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,71,0.23170603,0.261501718,0.327858475,0.233890599,0.296335457,0.390316504,0.269013562,0.169535705,0.286674676
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,72,0.245177507,0.231158774,0.394188397,0.215462468,0.358078383,0.336901786,0.371752909,0.191215545,0.258737956
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,73,0.266941354,0.25778813,0.287616213,0.249593875,0.244377473,0.399426519,0.428444496,0.263277157,0.265758137
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,74,0.248580866,0.245140478,0.308851953,0.241012803,0.430798468,0.314445411,0.327045076,0.213229765,0.264522535
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,75,0.269787728,0.238801911,0.276292144,0.231851469,0.386871259,0.307313749,0.354334874,0.205954012,0.283705832
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,76,0.238515334,0.251018935,0.409367031,0.244455281,0.376358169,0.236537564,0.284565124,0.22041355,0.278901442
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,77,0.258007356,0.223246683,0.343094678,0.234716701,0.477029874,0.322481497,0.357953191,0.22773375,0.275836769
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,78,0.26351221,0.25935804,0.400714664,0.216765228,0.393279876,0.365944291,0.367907582,0.211515625,0.308658859
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,79,0.247509662,0.27264143,0.36822107,0.235528803,0.390998864,0.333194195,0.423626517,0.225672828,0.292420437
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,80,0.271088424,0.225368337,0.338707856,0.199962737,0.348261326,0.283114682,0.278844171,0.247999009,0.270507836
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,81,0.237872165,0.242941742,0.273107913,0.25397378,0.358412103,0.458620262,0.355866934,0.243344985,0.255723654
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,82,0.236934237,0.266012673,0.32368723,0.187471387,0.213148708,0.445399751,0.311747068,0.189013532,0.257354983
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,83,0.260177792,0.255021361,0.28312235,0.211024478,0.25144793,0.426411263,0.322157671,0.217995773,0.266276367
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,84,0.245180256,0.295432816,0.256620827,0.187471387,0.478446317,0.295951205,0.363050779,0.206298839,0.263650454
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,85,0.257460455,0.235979496,0.401098668,0.213895469,0.274488965,0.348011626,0.415169153,0.2435917,0.267175902
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,86,0.241423468,0.244322368,0.309370169,0.218123248,0.361190572,0.324790257,0.343912805,0.198273631,0.265029301
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,87,0.24208406,0.255007866,0.315103041,0.24293423,0.394201798,0.373679595,0.307182205,0.203865218,0.279416557
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,88,0.236263502,0.258750368,0.276181874,0.253253729,0.227750938,0.222326461,0.401409746,0.184475731,0.268665806
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,89,0.276113229,0.239740354,0.330404614,0.226339178,0.448718501,0.294836449,0.354691482,0.225593631,0.272952179
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,90,0.257434059,0.25825002,0.274928642,0.244451974,0.389196595,0.372969985,0.354318091,0.184900851,0.292099911
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,91,0.284354848,0.267617612,0.282208803,0.214959157,0.486841023,0.296298789,0.429872452,0.236756307,0.257063546
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,92,0.24667498,0.226400613,0.293918576,0.209441358,0.320330165,0.393603956,0.311533746,0.205008698,0.282794921
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,93,0.254650697,0.254246017,0.324273011,0.226796235,0.425683912,0.440988722,0.374709792,0.237830618,0.264312232
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,94,0.254652864,0.259908381,0.413631349,0.266842435,0.470914412,0.282278523,0.409629805,0.174951669,0.251552606
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,95,0.251782114,0.234508092,0.276122132,0.239859124,0.321095399,0.473727589,0.461918576,0.228841173,0.265485983
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,96,0.246097665,0.227903508,0.277872228,0.225194708,0.347896781,0.392447389,0.358663465,0.19916762,0.257665377
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,97,0.296145718,0.246718655,0.292133468,0.212300653,0.455494651,0.306513468,0.286997823,0.21923091,0.281082091
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,98,0.242036555,0.252692782,0.379134399,0.254867687,0.482477682,0.358244823,0.334910735,0.205827218,0.275967911
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,99,0.238118258,0.248154201,0.331306409,0.208429884,0.391043945,0.384834124,0.289838314,0.224390109,0.268790602
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,100,0.237123202,0.250567818,0.2430392,0.242912137,0.472832943,0.472542059,0.290839168,0.217991652,0.269383818
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,101,0.243489617,0.236365072,0.301527413,0.222077711,0.346012044,0.379064997,0.332045212,0.197543235,0.253132368
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,102,0.237358011,0.232908742,0.306809513,0.255738684,0.428147567,0.29460701,0.268490005,0.214986779,0.25459651
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,103,0.246991839,0.255631713,0.353928957,0.193640304,0.383994177,0.361678135,0.330343736,0.252569056,0.259404971
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,104,0.235899211,0.237048642,0.271637812,0.24201121,0.455251597,0.288227602,0.335553663,0.215782096,0.281086718
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,105,0.231693267,0.249496735,0.430967833,0.224428474,0.340081752,0.274977044,0.355934131,0.23075683,0.284327143
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,106,0.235193838,0.245418918,0.395478458,0.246915084,0.282624007,0.432801153,0.354796275,0.227242571,0.251947158
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,107,0.253128316,0.269137918,0.352097491,0.223038702,0.474404864,0.476255353,0.342036024,0.224099386,0.257589534
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,108,0.254325052,0.227290535,0.266594792,0.223009542,0.400976991,0.332886094,0.273665739,0.241555057,0.292629919
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,109,0.25272632,0.249996141,0.303188219,0.241352722,0.400886719,0.308376406,0.304517425,0.187885251,0.278018762
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,110,0.266803625,0.26816812,0.313621999,0.24995083,0.317369556,0.394558068,0.385068483,0.21431521,0.271607074
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,111,0.249278121,0.225789072,0.384398951,0.203294291,0.471517528,0.311768326,0.384821089,0.208976242,0.277643508
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,112,0.24638678,0.252684213,0.392701458,0.244841888,0.288526336,0.217009066,0.276904118,0.215520419,0.286453876
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,113,0.243983417,0.258960075,0.361564392,0.231123421,0.4639586,0.222839315,0.403984364,0.210392893,0.250175855
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,114,0.266668393,0.226657308,0.273505047,0.234487237,0.336802218,0.570466304,0.300991782,0.243147925,0.280712503
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,115,0.262213978,0.227217568,0.261177296,0.222859932,0.248302383,0.303914762,0.287077345,0.217229427,0.25774115
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,116,0.237860356,0.225712639,0.392729295,0.248313311,0.392640136,0.342524169,0.317399212,0.203649035,0.266484631
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,117,0.225535735,0.250453367,0.436796809,0.23993094,0.460068146,0.435464155,0.384087835,0.221190645,0.272091987
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,118,0.249970873,0.227362642,0.319879421,0.224781472,0.330454248,0.279142025,0.309794662,0.238925101,0.257712355
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,119,0.248558705,0.259155035,0.336123452,0.236535655,0.517071954,0.260579001,0.364884199,0.189223352,0.257280953
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,120,0.250083933,0.222442855,0.360890077,0.24203015,0.398445065,0.351516169,0.300314787,0.229951849,0.251603991
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,121,0.233980579,0.271765535,0.275390298,0.237464641,0.482033905,0.327786926,0.296541888,0.221229855,0.246938751
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,122,0.257344403,0.248582335,0.350580824,0.211962288,0.37772208,0.283215505,0.276718023,0.211562783,0.257171442
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,123,0.271268378,0.266411049,0.299496623,0.194008224,0.33723185,0.39601143,0.294486445,0.216890409,0.266402182
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,124,0.247697263,0.230885874,0.477308359,0.228187527,0.29099703,0.237909639,0.262164057,0.232674295,0.255815253
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,125,0.262798909,0.249551846,0.399125947,0.210384312,0.473252922,0.351646357,0.358161843,0.201369531,0.290643247
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,126,0.245133795,0.249837125,0.417913887,0.220555582,0.450023794,0.327795725,0.345829079,0.227516425,0.266673917
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,127,0.26455076,0.268147738,0.430918399,0.239372037,0.458083957,0.282775761,0.307495794,0.236996162,0.253082594
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,128,0.237434999,0.249079348,0.376034531,0.248187605,0.450300948,0.312201547,0.330270231,0.197150827,0.265777968
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,129,0.273764107,0.230652558,0.312690958,0.231158322,0.429844912,0.294966364,0.27840696,0.219223797,0.24105769
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,130,0.261615753,0.242596139,0.428130448,0.236941681,0.321254119,0.350172536,0.308188701,0.221169903,0.276090544
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,131,0.229109719,0.239753207,0.391581269,0.222723793,0.274003623,0.377971982,0.354153119,0.203218575,0.263699047
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,132,0.223339171,0.218618778,0.332746832,0.257218676,0.428282951,0.335560752,0.344569512,0.209809804,0.247522981
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,133,0.25405572,0.236349028,0.407669836,0.222686914,0.45816119,0.399203941,0.281057237,0.211541609,0.249075799
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,134,0.248104558,0.249854664,0.300593005,0.232115305,0.354251197,0.287580945,0.347108763,0.20981094,0.268827072
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,135,0.220757934,0.233291537,0.343643298,0.237410811,0.287296627,0.333544131,0.352514975,0.191837189,0.263116452
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,136,0.247257643,0.251866219,0.277621808,0.252197399,0.390284294,0.312724826,0.326870439,0.20388207,0.258054252
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,137,0.229290164,0.255279528,0.35521391,0.187471387,0.439721401,0.435345067,0.3210761,0.240746041,0.268992472
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,138,0.242824256,0.251686329,0.285570721,0.199939748,0.356666314,0.290466656,0.275429015,0.225128591,0.269723508
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,139,0.23473206,0.264046455,0.265107872,0.187471387,0.295942964,0.370055612,0.363151218,0.218305613,0.235116217
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,140,0.229407295,0.251958566,0.317040877,0.250460086,0.476189074,0.43050808,0.316810102,0.220924192,0.261129125
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,141,0.241295086,0.245738148,0.400953577,0.243096805,0.263321014,0.368194394,0.433619723,0.220397066,0.269606327
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,142,0.236676013,0.246456784,0.385449416,0.212979766,0.469747587,0.389398802,0.406254444,0.200276776,0.26094271
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,143,0.238522278,0.232568337,0.433331538,0.228398779,0.373139378,0.331147202,0.295534412,0.180650193,0.251801377
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,144,0.239053756,0.251773318,0.353361539,0.24307649,0.450425968,0.421835416,0.424690919,0.201435585,0.272334523
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,145,0.255644993,0.24389332,0.345812137,0.223589672,0.328286201,0.318645676,0.291037501,0.200441172,0.269869297
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,146,0.251253287,0.239510486,0.321332265,0.215398419,0.457535314,0.468430853,0.291444057,0.207050569,0.251263994
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,147,0.276483589,0.276102407,0.306963456,0.23445925,0.533837328,0.294767703,0.371699658,0.239954861,0.288728282
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,148,0.215825986,0.231839282,0.287423309,0.221974534,0.417143341,0.457836701,0.357050047,0.211637707,0.286240291
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,149,0.228957788,0.267914102,0.326240217,0.225625971,0.466731597,0.32882481,0.373233111,0.214367882,0.266572024
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,150,0.259630361,0.249213491,0.391006158,0.247800912,0.331607779,0.35991923,0.317834395,0.203262393,0.25212486
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,151,0.258339564,0.272915417,0.341647994,0.251872008,0.233936833,0.385620365,0.365401394,0.191660592,0.256029497
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,152,0.260673671,0.240466927,0.346361908,0.213771185,0.254324847,0.384947389,0.268186023,0.20930017,0.267735407
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,153,0.270113269,0.242691543,0.301780057,0.224799258,0.431293139,0.300496348,0.277440798,0.192577418,0.26211297
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,154,0.24925046,0.233996577,0.423225289,0.224244111,0.481585772,0.349643927,0.326265521,0.194880766,0.271536119
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,155,0.267526242,0.2460097,0.26319921,0.219165146,0.488531041,0.256797639,0.306284288,0.188994482,0.243249593
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,156,0.221535962,0.261744718,0.417635318,0.222870439,0.482028808,0.278805315,0.31416506,0.21509548,0.259297364
