bmr,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",1,0.247595821,0.199875455,0.248439773,0.124293728,0.170089782,0.203118609,0.284554042,0.218590085,0.249219767
"Central tendency: Relative, 0.05: Adversity: 0.05,",2,0.2091426,0.25109596,0.234380605,0.157219469,0.436417282,0.198988354,0.497939801,0.221658452,0.246365673
"Central tendency: Relative, 0.05: Adversity: 0.05,",3,0.22860737,0.25853483,0.337120496,0.172974616,0.551766345,0.333548456,0.302095662,0.170134586,0.262515197
"Central tendency: Relative, 0.05: Adversity: 0.05,",4,0.218230142,0.217575315,0.275468531,0.124571091,0.267201273,0.316333103,0.293940276,0.217813792,0.226044276
"Central tendency: Relative, 0.05: Adversity: 0.05,",5,0.227920194,0.205805523,0.263086183,0.13589577,0.313602485,0.239725439,0.319512918,0.250189918,0.26021828
"Central tendency: Relative, 0.05: Adversity: 0.05,",6,0.211826303,0.221422602,0.356014624,0.14840067,0.264114284,0.255047608,0.302610412,0.211477715,0.270879237
"Central tendency: Relative, 0.05: Adversity: 0.05,",7,0.232448563,0.216148185,0.232049902,0.151101755,0.187433745,0.249897928,0.287827345,0.227573807,0.259462944
"Central tendency: Relative, 0.05: Adversity: 0.05,",8,0.221598952,0.222648566,0.225029802,0.203722503,0.212963792,0.265617718,0.283481613,0.229508107,0.246625846
"Central tendency: Relative, 0.05: Adversity: 0.05,",9,0.223261856,0.228602513,0.249508561,0.155043969,0.225519304,0.35224156,0.286934007,0.232646167,0.26704378
"Central tendency: Relative, 0.05: Adversity: 0.05,",10,0.207692707,0.261151267,0.233218813,0.135911006,0.258738607,0.18894907,0.268775967,0.223955164,0.246061421
"Central tendency: Relative, 0.05: Adversity: 0.05,",11,0.216153926,0.223507362,0.344983798,0.176941931,0.397100547,0.227723217,0.29912221,0.169858148,0.268645579
"Central tendency: Relative, 0.05: Adversity: 0.05,",12,0.224936839,0.199803013,0.233904089,0.189662203,0.182841811,0.245945167,0.25851847,0.193448407,0.257641202
"Central tendency: Relative, 0.05: Adversity: 0.05,",13,0.209614654,0.225483417,0.252621826,0.146395331,0.234910511,0.261642673,0.281969649,0.207968236,0.251282081
"Central tendency: Relative, 0.05: Adversity: 0.05,",14,0.226206329,0.209378325,0.255490989,0.187828281,0.280154257,0.227298133,0.314937445,0.195278543,0.259905763
"Central tendency: Relative, 0.05: Adversity: 0.05,",15,0.221332981,0.233907003,0.266067056,0.196354987,0.309350391,0.20573893,0.289192084,0.211274391,0.251289339
"Central tendency: Relative, 0.05: Adversity: 0.05,",16,0.198054765,0.183328622,0.370238993,0.190888791,0.238077808,0.226006462,0.27092743,0.180188189,0.261299201
"Central tendency: Relative, 0.05: Adversity: 0.05,",17,0.20159564,0.194392942,0.33699524,0.163976282,0.209280548,0.344515366,0.310464206,0.190964258,0.276733907
"Central tendency: Relative, 0.05: Adversity: 0.05,",18,0.223858853,0.211667534,0.237878373,0.172458187,0.184086117,0.230260492,0.288469323,0.235945093,0.247223539
"Central tendency: Relative, 0.05: Adversity: 0.05,",19,0.239476182,0.24323991,0.278889746,0.19689416,0.202282049,0.294041442,0.318761525,0.262094542,0.237549485
"Central tendency: Relative, 0.05: Adversity: 0.05,",20,0.219551418,0.235657429,0.251045457,0.178142276,0.484978622,0.150102417,0.345977786,0.194716851,0.276123782
"Central tendency: Relative, 0.05: Adversity: 0.05,",21,0.217590778,0.220165013,0.214812895,0.121986345,0.215809423,0.208240712,0.267580927,0.234912082,0.257069742
"Central tendency: Relative, 0.05: Adversity: 0.05,",22,0.201471183,0.217685257,0.355608188,0.191024931,0.290572299,0.243184844,0.292237057,0.190738299,0.247347092
"Central tendency: Relative, 0.05: Adversity: 0.05,",23,0.219149625,0.233564417,0.328944372,0.180065705,0.252962232,0.233812982,0.238950717,0.223837328,0.258041121
"Central tendency: Relative, 0.05: Adversity: 0.05,",24,0.207871346,0.232586938,0.241774667,0.148445687,0.626957053,0.320541401,0.329215558,0.219595765,0.235838211
"Central tendency: Relative, 0.05: Adversity: 0.05,",25,0.219098367,0.210835385,0.24542217,0.122131718,0.446584577,0.184547637,0.243741857,0.166601114,0.240008244
"Central tendency: Relative, 0.05: Adversity: 0.05,",26,0.230540392,0.205422443,0.319752908,0.133745599,0.229881544,0.232260233,0.496557316,0.21768463,0.256208257
"Central tendency: Relative, 0.05: Adversity: 0.05,",27,0.24842148,0.225937986,0.514611918,0.244133659,0.498693643,0.205914704,0.296538541,0.196979023,0.246287698
"Central tendency: Relative, 0.05: Adversity: 0.05,",28,0.218999421,0.23723534,0.26520617,0.187705119,0.281829054,0.323417552,0.280943989,0.200624707,0.25083983
"Central tendency: Relative, 0.05: Adversity: 0.05,",29,0.217817868,0.241924066,0.274143606,0.214936374,0.58274012,0.203600305,0.257963776,0.251194033,0.246122346
"Central tendency: Relative, 0.05: Adversity: 0.05,",30,0.219401785,0.209656414,0.234248748,0.196141643,0.233780616,0.167692239,0.471662673,0.230447851,0.274149471
"Central tendency: Relative, 0.05: Adversity: 0.05,",31,0.199175378,0.210195315,0.23972269,0.165108427,0.204899543,0.245363021,0.367977425,0.232598476,0.244444858
"Central tendency: Relative, 0.05: Adversity: 0.05,",32,0.236748238,0.224516689,0.295678349,0.144513303,0.513327589,0.368694485,0.23931647,0.143264267,0.274323651
"Central tendency: Relative, 0.05: Adversity: 0.05,",33,0.205574787,0.220339241,0.205133835,0.177032577,0.522245289,0.351420415,0.463695909,0.210797802,0.246048326
"Central tendency: Relative, 0.05: Adversity: 0.05,",34,0.217994856,0.211774926,0.22773443,0.193225769,0.26925157,0.336576179,0.278398165,0.222318224,0.282889625
"Central tendency: Relative, 0.05: Adversity: 0.05,",35,0.203047022,0.243663821,0.22560434,0.229414346,0.379011672,0.272687913,0.299767332,0.214214205,0.253939261
"Central tendency: Relative, 0.05: Adversity: 0.05,",36,0.212430259,0.201464076,0.304126685,0.159382622,0.286160969,0.444233374,0.335807102,0.195210125,0.264979532
"Central tendency: Relative, 0.05: Adversity: 0.05,",37,0.228389342,0.21221966,0.256070887,0.208374106,0.369422322,0.210728599,0.254956866,0.257750445,0.251476249
"Central tendency: Relative, 0.05: Adversity: 0.05,",38,0.229637441,0.229199245,0.278213207,0.175566398,0.41298622,0.214384143,0.271683737,0.118685518,0.247390978
"Central tendency: Relative, 0.05: Adversity: 0.05,",39,0.23242916,0.228644443,0.219212454,0.184505049,0.184949239,0.172071401,0.274242969,0.16922712,0.26675657
"Central tendency: Relative, 0.05: Adversity: 0.05,",40,0.227822371,0.199287126,0.260662927,0.201507646,0.264904609,0.380498828,0.398377749,0.179212647,0.266070445
"Central tendency: Relative, 0.05: Adversity: 0.05,",41,0.198713457,0.233621525,0.277997532,0.19897509,0.634564001,0.217523776,0.27346777,0.242492594,0.245570827
"Central tendency: Relative, 0.05: Adversity: 0.05,",42,0.245259219,0.205239341,0.305165399,0.146917871,0.188243138,0.25570684,0.254536863,0.196687627,0.257158729
"Central tendency: Relative, 0.05: Adversity: 0.05,",43,0.203537095,0.224894591,0.355688944,0.185939211,0.150079777,0.261581013,0.274891937,0.23728697,0.28153237
"Central tendency: Relative, 0.05: Adversity: 0.05,",44,0.226666757,0.207603338,0.335476179,0.216363148,0.62603021,0.201958603,0.292086209,0.147303717,0.259136464
"Central tendency: Relative, 0.05: Adversity: 0.05,",45,0.256431574,0.248120982,0.21806483,0.150000109,0.236298479,0.232521346,0.30905399,0.233514222,0.260602953
"Central tendency: Relative, 0.05: Adversity: 0.05,",46,0.211313691,0.201310049,0.269485143,0.148230513,0.572100635,0.241108598,0.256731319,0.223003633,0.262044111
"Central tendency: Relative, 0.05: Adversity: 0.05,",47,0.215897458,0.233136236,0.238401092,0.154025971,0.199945347,0.297799294,0.259868229,0.242353655,0.267630497
"Central tendency: Relative, 0.05: Adversity: 0.05,",48,0.24475295,0.238809115,0.262871181,0.146584459,0.243827469,0.273884744,0.294224684,0.237188736,0.259386706
"Central tendency: Relative, 0.05: Adversity: 0.05,",49,0.250218669,0.20237491,0.20378453,0.10270994,0.325546585,0.338241549,0.302579078,0.219603336,0.251259285
"Central tendency: Relative, 0.05: Adversity: 0.05,",50,0.212535592,0.220219654,0.297235447,0.233739537,0.55039815,0.191695968,0.278703298,0.219222655,0.259786198
"Central tendency: Relative, 0.05: Adversity: 0.05,",51,0.221546516,0.220726377,0.295012354,0.167825594,0.235593262,0.264061717,0.453144783,0.228627904,0.260556855
"Central tendency: Relative, 0.05: Adversity: 0.05,",52,0.229763281,0.222421691,0.226098286,0.145623251,0.31672925,0.288469823,0.307097303,0.199401451,0.263447825
"Central tendency: Relative, 0.05: Adversity: 0.05,",53,0.223089209,0.209995495,0.455926145,0.17966857,0.590536651,0.240631665,0.332566621,0.27066093,0.271200913
"Central tendency: Relative, 0.05: Adversity: 0.05,",54,0.214826293,0.217360569,0.232930962,0.166789578,0.162444082,0.236202672,0.295294198,0.230261725,0.276028675
"Central tendency: Relative, 0.05: Adversity: 0.05,",55,0.227660161,0.19378691,0.263500062,0.251361802,0.194584096,0.288489033,0.271071215,0.220678854,0.27250421
"Central tendency: Relative, 0.05: Adversity: 0.05,",56,0.211697776,0.197764838,0.24879829,0.147419153,0.509358742,0.252643589,0.39859942,0.215794546,0.25352588
