bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,20,0.214631112,0.193230707,0.25303888,0.194189916,0.242789098,0.215412007,0.323083257,0.204045914,0.267778512
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,21,0.205753412,0.243881184,0.330091973,0.125156522,0.260183311,0.252302515,0.364005996,0.250631689,0.233935897
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,22,0.214300616,0.238656816,0.266084634,0.203895535,0.510949601,0.224118328,0.256990139,0.155642332,0.278455616
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,23,0.218230423,0.215849423,0.290250841,0.143280398,0.1928796,0.234413217,0.277728579,0.218104172,0.266467732
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,24,0.271030946,0.213727996,0.246410903,0.214658064,0.248655088,0.238915135,0.281608916,0.22940827,0.269087538
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,25,0.245111155,0.242057973,0.282283093,0.218512596,0.215135373,0.296602192,0.320882639,0.193119188,0.270645993
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,26,0.218324197,0.210610719,0.301969692,0.175924246,0.464159291,0.244581764,0.328433633,0.210394657,0.250566524
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,27,0.219091809,0.227705009,0.230543288,0.157799731,0.296678832,0.166203239,0.236334069,0.208055372,0.265727027
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,28,0.255824853,0.221685983,0.252228489,0.131296949,0.174817973,0.29950091,0.270788344,0.193196648,0.265038392
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,29,0.20586949,0.239117387,0.393623354,0.139698291,0.640707578,0.349552255,0.275751676,0.22018585,0.257803406
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,30,0.244039935,0.239846732,0.226098448,0.139523534,0.373672504,0.272813243,0.310972002,0.205481699,0.247372662
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,31,0.244887384,0.232476898,0.270288623,0.162939221,0.113531855,0.123761231,0.299783097,0.210114479,0.253401225
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,32,0.215172845,0.223947748,0.303234033,0.174250401,0.23840133,0.18194328,0.325552678,0.20246896,0.240155844
